protein_accession,protein_description,control_1,control_2,control_3,treatment_1,treatment_2,treatment_3
VATA_HUMAN_P38606,V-type proton ATPase catalytic subunit A OS=Homo sapiens GN=ATP6V1A PE=1 SV=2,0.8114,0.8575,1.0381,0.6918,0.6655,0.5681
RL35A_HUMAN_P18077,60S ribosomal protein L35a OS=Homo sapiens GN=RPL35A PE=1 SV=2,0.3672,0.3853,0.4091,0.3902,0.3976,0.3469
MYH10_HUMAN_P35580,Myosin-10 OS=Homo sapiens GN=MYH10 PE=1 SV=3,2.9815,4.6176,2.8709,3.6547,2.9694,3.5858
RHOG_HUMAN_P84095,Rho-related GTP-binding protein RhoG OS=Homo sapiens GN=RHOG PE=1 SV=1,0.1424,0.2238,0.1281,0.0739,0.1405,0.0579
PSA1_HUMAN_P25786,Proteasome subunit alpha type-1 OS=Homo sapiens GN=PSMA1 PE=1 SV=1,1.0748,0.9451,0.8032,0.8933,0.8261,0.6772
PRDX5_HUMAN_P30044,Peroxiredoxin-5_ mitochondrial OS=Homo sapiens GN=PRDX5 PE=1 SV=4,0.5663,0.5395,0.4876,0.5116,0.4735,0.5393
ACLY_HUMAN_P53396,ATP-citrate synthase OS=Homo sapiens GN=ACLY PE=1 SV=3,4.999,4.2188,5.0255,4.8518,4.5852,4.4446
VDAC2_HUMAN_P45880,Voltage-dependent anion-selective channel protein 2 OS=Homo sapiens GN=VDAC2 PE=1 SV=2,1.3482,1.3281,1.1356,0.996,0.9924,1.1075
LRC47_HUMAN_Q8N1G4,Leucine-rich repeat-containing protein 47 OS=Homo sapiens GN=LRRC47 PE=1 SV=1,0.9274,0.7698,1.1667,1.2511,2.7835,1.2889
CH60_HUMAN_P10809,60 kDa heat shock protein_ mitochondrial OS=Homo sapiens GN=HSPD1 PE=1 SV=2,9.4528,8.4093,10.3654,6.9977,7.1206,6.3613
RS17_HUMAN_P08708,40S ribosomal protein S17 OS=Homo sapiens GN=RPS17 PE=1 SV=2,0.4751,0.9442,0.9746,1.4221,1.1597,1.2464
PRPF3_HUMAN_O43395,U4/U6 small nuclear ribonucleoprotein Prp3 OS=Homo sapiens GN=PRPF3 PE=1 SV=2,0.3147,0.2771,0.3948,0.3898,0.226,0.3072
SRSF6_HUMAN_Q13247,Serine/arginine-rich splicing factor 6 OS=Homo sapiens GN=SRSF6 PE=1 SV=2,0.462,0.5714,0.3708,0.3478,0.4717,0.8557
SYLC_HUMAN_Q9P2J5,Leucine--tRNA ligase_ cytoplasmic OS=Homo sapiens GN=LARS PE=1 SV=2,3.4639,2.8624,3.3183,2.9846,2.9897,2.7592
RS26_HUMAN_P62854,40S ribosomal protein S26 OS=Homo sapiens GN=RPS26 PE=1 SV=3,0.2291,0.0886,0.1748,0.1843,0.2143,0.1541
LDHB_HUMAN_P07195,L-lactate dehydrogenase B chain OS=Homo sapiens GN=LDHB PE=1 SV=2,4.1395,3.9203,4.5151,3.2455,3.0433,2.9777
SMCA5_HUMAN_O60264,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 OS=Homo sapiens GN=SMARCA5 PE=1 SV=1,0.5482,0.7595,0.3642,0.5612,0.7807,1.5373000000000001
RCC1_HUMAN_P18754,Regulator of chromosome condensation OS=Homo sapiens GN=RCC1 PE=1 SV=1,0.2573,0.3278,0.2289,0.3777,0.3129,0.2724
NIBL1_HUMAN_Q96TA1,Niban-like protein 1 OS=Homo sapiens GN=FAM129B PE=1 SV=3,1.1397,0.8902,1.0906,0.9958,0.7584,0.6919
RMD1_HUMAN_Q96DB5,Regulator of microtubule dynamics protein 1 OS=Homo sapiens GN=RMDN1 PE=1 SV=1,0.1114,0.1124,0.1323,0.1211,0.0952,0.1019
TXD17_HUMAN_Q9BRA2,Thioredoxin domain-containing protein 17 OS=Homo sapiens GN=TXNDC17 PE=1 SV=1,0.3197,0.2952,0.4645,0.2488,0.2702,0.2112
SF01_HUMAN_Q15637,Splicing factor 1 OS=Homo sapiens GN=SF1 PE=1 SV=4,0.2693,0.3927,0.3605,0.4955,0.4132,0.3414
PIPNB_HUMAN_P48739,Phosphatidylinositol transfer protein beta isoform OS=Homo sapiens GN=PITPNB PE=1 SV=2,0.2835,0.2739,0.1924,0.366,0.263,0.2113
PPIA_HUMAN_P62937,Peptidyl-prolyl cis-trans isomerase A OS=Homo sapiens GN=PPIA PE=1 SV=2,1.8364,1.7392,1.5482,1.3874,1.393,1.263
CLPT1_HUMAN_O96005,Cleft lip and palate transmembrane protein 1 OS=Homo sapiens GN=CLPTM1 PE=1 SV=1,0.2619,0.2278,0.2905,0.422,0.2538,0.1659
RU17_HUMAN_P08621,U1 small nuclear ribonucleoprotein 70 kDa OS=Homo sapiens GN=SNRNP70 PE=1 SV=2,0.4062,0.5601,0.3588,0.3362,0.623,0.3829
ANXA1_HUMAN_P04083,Annexin A1 OS=Homo sapiens GN=ANXA1 PE=1 SV=2,3.6345,3.4256,2.8752,2.4754,2.489,2.1149
PFKAL_HUMAN_P17858,ATP-dependent 6-phosphofructokinase_ liver type OS=Homo sapiens GN=PFKL PE=1 SV=6,1.1908,1.1099,0.9269,1.1222,1.1311,1.0427
SAFB1_HUMAN_Q15424,Scaffold attachment factor B1 OS=Homo sapiens GN=SAFB PE=1 SV=4,1.4121,0.6801,0.459,0.5743,0.7047,0.7064
RD23B_HUMAN_P54727,UV excision repair protein RAD23 homolog B OS=Homo sapiens GN=RAD23B PE=1 SV=1,1.4825,1.2052,1.4594,1.1542,1.2212,1.1187
