protein.Accession,protein.Description,1 None,2 None,3 None,1 TGFB,2 TGFB,3 TGFB
Q96I99,Succinyl-CoA ligase [GDP-forming] subunit beta_ mitochondrial OS=Homo sapiens GN=SUCLG2 PE=1 SV=2,7.410402098,20.06343168,12.3414554,40.24173754,43.46363094,18.46622784
Q7Z460,CLIP-associating protein 1 OS=Homo sapiens GN=CLASP1 PE=1 SV=1,11.67323819,37.06083127,25.41117404,38.99327156,86.1822329,41.6612216
Q9H0E2,Toll-interacting protein OS=Homo sapiens GN=TOLLIP PE=1 SV=1,27.78071844,29.68326724,29.13578233,33.49159251,24.86711727,31.70083992
P40227,T-complex protein 1 subunit zeta OS=Homo sapiens GN=CCT6A PE=1 SV=3,70.27941309,145.5428079,167.1815679,156.8051369,149.3796373,162.8700097
P13693,Translatiolly-controlled tumor protein OS=Homo sapiens GN=TPT1 PE=1 SV=1,29.12863877,71.5098762,66.24086463,62.13649672,65.39806265,74.60460911
P20936,Ras GTPase-activating protein 1 OS=Homo sapiens GN=RASA1 PE=1 SV=1,19.71847433,33.74477528,28.67569302,31.70904562,31.01172458,22.96808984
P33527,Multidrug resistance-associated protein 1 OS=Homo sapiens GN=ABCC1 PE=1 SV=3,20.80893462,20.86702358,25.70128222,26.40960047,12.05608298,12.46655134
Q9NZL4,Hsp70-binding protein 1 OS=Homo sapiens GN=HSPBP1 PE=1 SV=1,11.57399904,19.47555441,8.288110867,23.99608258,20.08161048,18.71556226
P16435,DPH--cytochrome P450 reductase OS=Homo sapiens GN=POR PE=1 SV=2,39.72397759,43.57131153,31.93691617,49.15210117,29.74607344,32.19346326
Q9NZL9,Methionine adenosyltransferase 2 subunit beta OS=Homo sapiens GN=MAT2B PE=1 SV=1,46.02410277,26.16084858,31.4917654,34.70898877,22.39680302,30.2724074
Q13724,Mannosyl-oligosaccharide glucosidase OS=Homo sapiens GN=MOGS PE=1 SV=5,70.88186958,42.75188891,45.75761522,71.3167863,50.81683607,46.51219698
Q9H4M9,EH domain-containing protein 1 OS=Homo sapiens GN=EHD1 PE=1 SV=2,84.83971453,37.91552088,70.67922695,51.98914668,82.82823387,67.17666958
P84077,ADP-ribosylation factor 1 OS=Homo sapiens GN=ARF1 PE=1 SV=2,118.1107293,86.46962047,90.76494455,56.22439173,48.50737452,57.71676474
P84074,Neuron-specific calcium-binding protein hippocalcin OS=Homo sapiens GN=HPCA PE=1 SV=2,24.27122603,3.9205527,1.616468583,12.19667222,0.929874867,0.799644233
P23919,Thymidylate kise OS=Homo sapiens GN=DTYMK PE=1 SV=4,29.09579311,33.62224216,41.26514331,26.49507338,29.59539967,27.71487925
Q9BUF5,Tubulin beta-6 chain OS=Homo sapiens GN=TUBB6 PE=1 SV=1,197.8207476,96.80972541,114.7168519,109.199066,110.9156555,166.41883
Q4VXU2,Polyadenylate-binding protein 1-like OS=Homo sapiens GN=PABPC1L PE=2 SV=1,18.41283986,12.06283605,5.166436139,6.948604392,13.77503849,7.464438509
Q96N66,Lysophospholipid acyltransferase 7 OS=Homo sapiens GN=MBOAT7 PE=1 SV=2,16.05793869,8.975733892,21.55110868,20.13719909,21.83854451,30.91995368
Q07960,Rho GTPase-activating protein 1 OS=Homo sapiens GN=ARHGAP1 PE=1 SV=1,47.93453428,91.04261272,91.68889885,103.1202888,94.81190962,73.45754649
Q96N67,Dedicator of cytokinesis protein 7 OS=Homo sapiens GN=DOCK7 PE=1 SV=4,28.11830316,37.64166641,37.40410563,42.84048832,45.44125093,40.22476608
Q03252,Lamin-B2 OS=Homo sapiens GN=LMNB2 PE=1 SV=3,88.17272979,29.55769192,61.45517813,48.28545578,54.44617934,57.55794329
P02545,Prelamin-A/C OS=Homo sapiens GN=LM PE=1 SV=1,637.987382,308.1356341,417.8275168,281.0814994,353.1223546,313.9588692
P40429,60S ribosomal protein L13a OS=Homo sapiens GN=RPL13A PE=1 SV=2,42.41170437,15.61781753,70.52006775,58.09787056,56.80597952,36.2685809
