protein_accession,protein_description,wt1,wt2,wt3,kog1,kog2,kog3
4562_DHE3_HUMAN,Glutamate dehydrogenase 1_ mitochondrial OS=Homo sapiens GN=GLUD1 PE=1 SV=2,7.831066666666667,10.6751,7.7651666666666666,14.712466666666668,0.9415,10.193266666666666
14948_RS2_HUMAN,40S ribosomal protein S2 OS=Homo sapiens GN=RPS2 PE=1 SV=2,21.531333333333333,24.407866666666667,26.792099999999998,15.748733333333334,16.0559,15.1735
14333_RET1_HUMAN,Retinol-binding protein 1 OS=Homo sapiens GN=RBP1 PE=1 SV=2,0.5681333333333334,0.6307333333333334,0.5851666666666666,1.7013666666666667,1.1579666666666666,2.3017000000000003
1378_ATPO_HUMAN,ATP synthase subunit O_ mitochondrial OS=Homo sapiens GN=ATP5O PE=1 SV=1,8.300833333333333,10.7494,4.170266666666667,5.902433333333334,4.5931999999999995,5.0949
14917_RRP44_HUMAN,Exosome complex exonuclease RRP44 OS=Homo sapiens GN=DIS3 PE=1 SV=2,4.722566666666666,6.8810666666666664,4.9007000000000005,6.4,16.506833333333333,6.864233333333333
12782_PDIA1_HUMAN,Protein disulfide-isomerase OS=Homo sapiens GN=P4HB PE=1 SV=3,33.0822,32.847166666666666,28.328400000000002,38.37253333333334,26.712166666666665,50.019333333333336
14568_RL11_HUMAN,60S ribosomal protein L11 OS=Homo sapiens GN=RPL11 PE=1 SV=2,12.7877,13.156466666666667,17.608666666666668,8.952533333333333,3.1584666666666665,15.5161
12787_PDIA6_HUMAN,Protein disulfide-isomerase A6 OS=Homo sapiens GN=PDIA6 PE=1 SV=1,9.9925,9.947566666666667,11.829533333333334,21.679133333333333,4.6103,11.2421
14940_RS25_HUMAN,40S ribosomal protein S25 OS=Homo sapiens GN=RPS25 PE=1 SV=1,9.947566666666667,5.9129000000000005,3.9962333333333335,5.2194,2.6959666666666666,5.8853333333333335
16086_SND1_HUMAN,Staphylococcal nuclease domain-containing protein 1 OS=Homo sapiens GN=SND1 PE=1 SV=1,15.9595,15.611933333333333,12.0338,23.010233333333332,25.163233333333334,18.523533333333333
18999_WDR1_HUMAN,WD repeat-containing protein 1 OS=Homo sapiens GN=WDR1 PE=1 SV=4,15.430033333333332,14.8217,24.048266666666667,23.866866666666667,30.1492,35.213233333333335
16440_SQRD_HUMAN,Sulfide:quinone oxidoreductase_ mitochondrial OS=Homo sapiens GN=SQRDL PE=1 SV=1,4.068966666666666,5.2498000000000005,6.5552,6.0809,1.8635333333333333,5.347733333333333
16772_SYAC_HUMAN,Alanine--tRNA ligase_ cytoplasmic OS=Homo sapiens GN=AARS PE=1 SV=2,18.642633333333333,9.4494,14.783566666666667,33.47023333333333,20.5089,23.453533333333333
16714_SUCB2_HUMAN,Succinyl-CoA ligase [GDP-forming] subunit beta_ mitochondrial OS=Homo sapiens GN=SUCLG2 PE=1 SV=2,2.8875666666666664,3.1698666666666666,2.9316333333333335,8.843966666666667,2.7677666666666667,7.1004000000000005
6364_FUBP2_HUMAN,Far upstream element-binding protein 2 OS=Homo sapiens GN=KHSRP PE=1 SV=4,23.077033333333333,23.872366666666668,22.684666666666665,17.69206666666667,16.3222,18.3009
6619_GCN1L_HUMAN,Translational activator GCN1 OS=Homo sapiens GN=GCN1L1 PE=1 SV=6,34.50963333333333,27.108666666666668,27.82466666666667,83.21786666666667,37.5031,75.99073333333334
14260_RD23B_HUMAN,UV excision repair protein RAD23 homolog B OS=Homo sapiens GN=RAD23B PE=1 SV=1,9.292966666666667,7.6001666666666665,6.633766666666667,13.692466666666668,5.513666666666667,10.709100000000001
15041_RU17_HUMAN,U1 small nuclear ribonucleoprotein 70 kDa OS=Homo sapiens GN=SNRNP70 PE=1 SV=2,10.015566666666667,10.553766666666668,8.482866666666666,12.161533333333333,14.068166666666666,14.537766666666666
6371_FUMH_HUMAN,Fumarate hydratase_ mitochondrial OS=Homo sapiens GN=FH PE=1 SV=3,6.014733333333333,4.945766666666667,4.475,9.395900000000001,6.0281666666666665,9.862166666666667
7418_HDGR2_HUMAN,Hepatoma-derived growth factor-related protein 2 OS=Homo sapiens GN=HDGFRP2 PE=1 SV=1,1.6027333333333333,2.6957666666666666,6.1635333333333335,1.9276,3.5064666666666664,3.593933333333333
13179_PLCB3_HUMAN,1-phosphatidylinositol 4_5-bisphosphate phosphodiesterase beta-3 OS=Homo sapiens GN=PLCB3 PE=1 SV=2,7.5727,9.5899,8.274133333333333,30.3313,5.427333333333333,12.649933333333333
5559_F10A5_HUMAN,Putative protein FAM10A5 OS=Homo sapiens GN=ST13P5 PE=5 SV=1,8.663366666666667,8.439333333333334,4.881233333333333,13.532433333333334,0.18473333333333333,2.2338666666666667
7930_IDHC_HUMAN,Isocitrate dehydrogenase [NADP] cytoplasmic OS=Homo sapiens GN=IDH1 PE=1 SV=2,2.6729,2.3156,2.2845,8.786566666666666,7.744066666666667,7.4315
16861_SYTC_HUMAN,Threonine--tRNA ligase_ cytoplasmic OS=Homo sapiens GN=TARS PE=1 SV=3,17.7873,30.344966666666668,27.619366666666668,21.180266666666668,19.463433333333334,22.0839
15625_SEP14_HUMAN,Septin-14 OS=Homo sapiens GN=SEPT14 PE=1 SV=2,0.1511,8.257933333333334,0.3947666666666667,2.7094666666666667,1.0218666666666667,0.37316666666666665
17083_TBB3_HUMAN,Tubulin beta-3 chain OS=Homo sapiens GN=TUBB3 PE=1 SV=2,5.619266666666666,4.640133333333333,5.3892999999999995,8.6003,17.247066666666665,1.3553
10014_MARE2_HUMAN,Microtubule-associated protein RP/EB family member 2 OS=Homo sapiens GN=MAPRE2 PE=1 SV=1,0.7821666666666667,0.1751,0.35436666666666666,1.2879666666666667,0.1042,1.0002666666666666
14557_RIR1_HUMAN,Ribonucleoside-diphosphate reductase large subunit OS=Homo sapiens GN=RRM1 PE=1 SV=1,14.038433333333334,12.1369,10.7494,11.883833333333333,35.776066666666665,24.6763
10824_MYG1_HUMAN,UPF0160 protein MYG1_ mitochondrial OS=Homo sapiens GN=C12orf10 PE=1 SV=2,1.5028333333333332,2.177,1.8262666666666667,3.0242,12.214766666666668,4.8949
17081_TBB2A_HUMAN,Tubulin beta-2A chain OS=Homo sapiens GN=TUBB2A PE=1 SV=1,5.510933333333334,19.0293,3.749766666666667,5.4445,3.7932,5.876433333333334
14593_RL32_HUMAN,60S ribosomal protein L32 OS=Homo sapiens GN=RPL32 PE=1 SV=2,3.5072,1.4916666666666667,1.4120333333333335,1.9404666666666668,2.3261,0.4194
4825_DPP3_HUMAN,Dipeptidyl peptidase 3 OS=Homo sapiens GN=DPP3 PE=1 SV=2,4.9565,8.559433333333333,5.8658,9.968966666666667,3.8498666666666668,9.308966666666667
7627_HNRPK_HUMAN,Heterogeneous nuclear ribonucleoprotein K OS=Homo sapiens GN=HNRNPK PE=1 SV=1,30.9244,26.159033333333333,29.857133333333334,33.3716,12.139199999999999,38.05446666666666
16942_T2FB_HUMAN,General transcription factor IIF subunit 2 OS=Homo sapiens GN=GTF2F2 PE=1 SV=2,1.9708999999999999,1.3675333333333333,2.1417,1.1173,7.7613666666666665,1.5727666666666666
18657_UGGG1_HUMAN,UDP-glucose:glycoprotein glucosyltransferase 1 OS=Homo sapiens GN=UGGT1 PE=1 SV=3,8.884333333333334,5.788433333333334,7.393199999999999,9.567833333333335,38.8136,11.1875
14577_RL19_HUMAN,60S ribosomal protein L19 OS=Homo sapiens GN=RPL19 PE=1 SV=1,7.523266666666666,6.1635333333333335,7.831066666666667,7.7613666666666665,3.5412333333333335,11.063866666666668
7_1433S_HUMAN,14-3-3 protein sigma OS=Homo sapiens GN=SFN PE=1 SV=1,9.787566666666667,6.428866666666667,9.292966666666667,13.729433333333333,0.21513333333333334,9.645633333333333
6440_G3BP2_HUMAN,Ras GTPase-activating protein-binding protein 2 OS=Homo sapiens GN=G3BP2 PE=1 SV=2,6.0913,2.4893,4.145533333333334,5.1484,10.373933333333333,5.1841333333333335
18029_TRAP1_HUMAN,Heat shock protein 75 kDa_ mitochondrial OS=Homo sapiens GN=TRAP1 PE=1 SV=3,23.227266666666665,33.1479,17.274566666666665,29.375333333333334,15.402033333333334,34.23623333333333
15630_SEPT2_HUMAN,Septin-2 OS=Homo sapiens GN=SEPT2 PE=1 SV=1,4.122,3.4194666666666667,5.1255,5.7002999999999995,10.138333333333334,5.3751
18367_TWF1_HUMAN,Twinfilin-1 OS=Homo sapiens GN=TWF1 PE=1 SV=3,2.9743666666666666,3.0548,3.5657666666666663,4.745233333333333,1.8523999999999998,5.064766666666666
14618_RL8_HUMAN,60S ribosomal protein L8 OS=Homo sapiens GN=RPL8 PE=1 SV=2,11.882233333333334,10.783366666666668,12.540566666666667,9.308966666666667,29.06,7.295366666666667
909_AP2B1_HUMAN,AP-2 complex subunit beta OS=Homo sapiens GN=AP2B1 PE=1 SV=1,12.092466666666667,9.054366666666667,9.258266666666668,10.193266666666666,20.167166666666667,12.521366666666665
12466_PABP1_HUMAN,Polyadenylate-binding protein 1 OS=Homo sapiens GN=PABPC1 PE=1 SV=2,27.108666666666668,26.70726666666667,24.407866666666667,25.708366666666667,9.988766666666667,17.422766666666668
16477_SRP68_HUMAN,Signal recognition particle subunit SRP68 OS=Homo sapiens GN=SRP68 PE=1 SV=2,6.2542,11.6929,7.5583,11.099466666666666,8.649633333333334,6.978266666666666
8793_KHDR1_HUMAN,KH domain-containing_ RNA-binding_ signal transduction-associated protein 1 OS=Homo sapiens GN=KHDRBS1 PE=1 SV=1,11.9621,4.705933333333333,5.017733333333333,5.609666666666667,18.591466666666665,0.5992
13413_PPAC_HUMAN,Low molecular weight phosphotyrosine protein phosphatase OS=Homo sapiens GN=ACP1 PE=1 SV=3,1.9593,0.6061,1.2522,0.8815666666666667,0.4588333333333333,1.0348333333333333
4445_DDX3X_HUMAN,ATP-dependent RNA helicase DDX3X OS=Homo sapiens GN=DDX3X PE=1 SV=3,9.5899,9.028533333333334,15.027733333333334,12.8992,7.897833333333333,10.313066666666666
14223_RBP56_HUMAN,TATA-binding protein-associated factor 2N OS=Homo sapiens GN=TAF15 PE=1 SV=1,0.2946666666666667,1.9593,5.640733333333333,0.1042,6.7814,0.3285
5903_FAF2_HUMAN,FAS-associated factor 2 OS=Homo sapiens GN=FAF2 PE=1 SV=2,1.893,2.3303333333333334,3.0141,2.3609,2.5787333333333335,1.4820333333333333
6044_FCL_HUMAN,GDP-L-fucose synthase OS=Homo sapiens GN=TSTA3 PE=1 SV=1,1.5407333333333333,1.4976333333333334,3.0082999999999998,1.3135000000000001,2.021266666666667,2.924
14580_RL22L_HUMAN,60S ribosomal protein L22-like 1 OS=Homo sapiens GN=RPL22L1 PE=1 SV=2,2.144433333333333,4.471966666666667,2.9451666666666663,2.0817666666666668,10.632066666666667,2.4831666666666665
3743_CPNE3_HUMAN,Copine-3 OS=Homo sapiens GN=CPNE3 PE=1 SV=1,22.3053,13.005433333333333,11.6929,14.216666666666667,13.493166666666667,13.633433333333333
15635_SEPT7_HUMAN,Septin-7 OS=Homo sapiens GN=SEPT7 PE=1 SV=2,5.060566666666666,2.892733333333333,5.5351333333333335,3.1866333333333334,1.9464333333333335,3.327566666666667
881_ANXA2_HUMAN,Annexin A2 OS=Homo sapiens GN=ANXA2 PE=1 SV=2,37.505300000000005,37.002066666666664,39.070033333333335,42.06613333333333,9.7901,48.74543333333333
8439_JIP4_HUMAN,C-Jun-amino-terminal kinase-interacting protein 4 OS=Homo sapiens GN=SPAG9 PE=1 SV=4,3.9329,4.475,4.781533333333333,5.326366666666667,5.2866,3.8267666666666664
2575_CD2AP_HUMAN,CD2-associated protein OS=Homo sapiens GN=CD2AP PE=1 SV=1,3.8036666666666665,4.6424666666666665,3.5072,5.0465333333333335,3.1428666666666665,3.8052
15637_SEPT9_HUMAN,Septin-9 OS=Homo sapiens GN=SEPT9 PE=1 SV=2,11.6778,13.197066666666666,15.9595,9.2583,4.543866666666666,8.917333333333334
12927_PGK1_HUMAN,Phosphoglycerate kinase 1 OS=Homo sapiens GN=PGK1 PE=1 SV=3,25.487666666666666,17.668433333333333,17.818866666666665,37.012100000000004,21.834333333333333,32.788133333333334
19014_WDR43_HUMAN,WD repeat-containing protein 43 OS=Homo sapiens GN=WDR43 PE=1 SV=3,11.234566666666668,4.253433333333334,3.4967,2.065833333333333,8.982333333333333,3.3704
9734_LTOR1_HUMAN,Ragulator complex protein LAMTOR1 OS=Homo sapiens GN=LAMTOR1 PE=1 SV=2,0.5527333333333333,0.6716333333333333,0.6061,0.7810333333333334,2.4915666666666665,0.8546
14217_RBMX_HUMAN,RNA-binding motif protein_ X chromosome OS=Homo sapiens GN=RBMX PE=1 SV=3,18.883533333333332,18.363,15.000433333333334,17.247066666666665,1.8391333333333333,6.003
8349_ISOC1_HUMAN,Isochorismatase domain-containing protein 1 OS=Homo sapiens GN=ISOC1 PE=1 SV=3,0.9951666666666666,0.4023333333333333,1.1805666666666665,2.4457999999999998,4.223866666666667,0.9960666666666667
18666_UK114_HUMAN,Ribonuclease UK114 OS=Homo sapiens GN=HRSP12 PE=1 SV=1,0.49466666666666664,0.6389,0.9687,0.8546,0.9473666666666667,1.403
1506_BAF_HUMAN,Barrier-to-autointegration factor OS=Homo sapiens GN=BANF1 PE=1 SV=1,0.5234666666666666,0.6196666666666667,0.5962333333333333,3.902066666666667,0.8063,2.090533333333333
3427_CNN3_HUMAN,Calponin-3 OS=Homo sapiens GN=CNN3 PE=1 SV=1,2.6606666666666667,2.191,1.7001666666666666,4.989333333333334,3.4961666666666664,2.8800999999999997
1288_AT5F1_HUMAN,ATP synthase F(0) complex subunit B1_ mitochondrial OS=Homo sapiens GN=ATP5F1 PE=1 SV=2,3.1972666666666667,7.192200000000001,4.063266666666667,6.2833000000000006,7.481366666666666,4.109500000000001
16685_STT3B_HUMAN,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B OS=Homo sapiens GN=STT3B PE=1 SV=1,2.7599333333333336,3.274433333333333,4.722566666666666,10.632066666666667,4.773833333333333,10.334066666666667
2661_CDK1_HUMAN,Cyclin-dependent kinase 1 OS=Homo sapiens GN=CDK1 PE=1 SV=3,4.272766666666667,3.612166666666667,7.316533333333334,2.8838666666666666,3.3361666666666667,3.5902666666666665
5089_EF1G_HUMAN,Elongation factor 1-gamma OS=Homo sapiens GN=EEF1G PE=1 SV=3,24.461233333333332,24.1561,25.487666666666666,24.502433333333332,17.066933333333335,31.4219
7725_HSP7C_HUMAN,Heat shock cognate 71 kDa protein OS=Homo sapiens GN=HSPA8 PE=1 SV=1,124.9553,86.37403333333333,128.64973333333333,128.33806666666666,123.01350000000001,123.01350000000001
7720_HSP71_HUMAN,Heat shock 70 kDa protein 1A/1B OS=Homo sapiens GN=HSPA1A PE=1 SV=5,53.88393333333333,37.85796666666666,37.002066666666664,77.8423,83.21786666666667,91.67743333333334
12939_PGRC2_HUMAN,Membrane-associated progesterone receptor component 2 OS=Homo sapiens GN=PGRMC2 PE=1 SV=1,0.6061,0.8197666666666666,1.2462666666666666,1.5250333333333335,1.4820333333333333,1.1260333333333334
16793_SYEM_HUMAN,Probable glutamate--tRNA ligase_ mitochondrial OS=Homo sapiens GN=EARS2 PE=1 SV=2,1.3675333333333333,0.6105666666666667,2.0137,1.0234,1.2931,0.8873333333333333
17991_TPX2_HUMAN,Targeting protein for Xklp2 OS=Homo sapiens GN=TPX2 PE=1 SV=2,4.164633333333333,4.566766666666666,4.4028,3.1938333333333335,18.0725,8.6003
7359_HAP28_HUMAN,28 kDa heat- and acid-stable phosphoprotein OS=Homo sapiens GN=PDAP1 PE=1 SV=1,2.3872,1.2991,1.8656333333333333,1.4250666666666667,2.0817666666666668,4.41
7171_GRP75_HUMAN,Stress-70 protein_ mitochondrial OS=Homo sapiens GN=HSPA9 PE=1 SV=2,42.22506666666666,44.710966666666664,55.26426666666667,56.3953,49.874966666666666,80.5576
3591_COPB2_HUMAN,Coatomer subunit beta' OS=Homo sapiens GN=COPB2 PE=1 SV=2,15.1159,12.743166666666667,10.869366666666666,14.765566666666667,5.4623,15.2733
11422_NOP10_HUMAN,H/ACA ribonucleoprotein complex subunit 3 OS=Homo sapiens GN=NOP10 PE=1 SV=1,0.03986666666666667,0.3947666666666667,0.21583333333333335,0.3519,0.30569999999999997,0.30569999999999997
7239_GTPC1_HUMAN,Putative GTP cyclohydrolase 1 type 2 NIF3L1 OS=Homo sapiens GN=NIF3L1 PE=1 SV=2,5.4247,3.0317,0.4315,1.1260333333333334,15.807133333333333,1.3135000000000001
13898_PUR8_HUMAN,Adenylosuccinate lyase OS=Homo sapiens GN=ADSL PE=1 SV=2,7.419766666666667,5.1255,4.705933333333333,5.259733333333333,5.0465333333333335,3.3434
414_ACTZ_HUMAN,Alpha-centractin OS=Homo sapiens GN=ACTR1A PE=1 SV=1,2.5491,3.8658,3.3857,12.521366666666665,3.4961666666666664,9.278533333333334
6676_GEMI5_HUMAN,Gem-associated protein 5 OS=Homo sapiens GN=GEMIN5 PE=1 SV=3,13.266966666666667,31.7519,11.603100000000001,12.247833333333334,30.296633333333332,11.702766666666667
13908_PUS7_HUMAN,Pseudouridylate synthase 7 homolog OS=Homo sapiens GN=PUS7 PE=1 SV=2,3.518866666666667,6.577166666666667,1.9480333333333333,6.937633333333333,8.843966666666667,3.0676
11450_NP1L1_HUMAN,Nucleosome assembly protein 1-like 1 OS=Homo sapiens GN=NAP1L1 PE=1 SV=1,28.328400000000002,10.204366666666667,8.508799999999999,21.4598,3.5902666666666665,26.712166666666665
5180_EIF3M_HUMAN,Eukaryotic translation initiation factor 3 subunit M OS=Homo sapiens GN=EIF3M PE=1 SV=1,3.4562666666666666,1.1931333333333334,3.438566666666667,7.702566666666667,9.455833333333333,2.9576333333333333
14014_RAB21_HUMAN,Ras-related protein Rab-21 OS=Homo sapiens GN=RAB21 PE=1 SV=3,0.7910333333333334,1.8118999999999998,1.0406666666666666,0.8461666666666666,0.5770000000000001,1.3873333333333333
14924_RS10_HUMAN,40S ribosomal protein S10 OS=Homo sapiens GN=RPS10 PE=1 SV=1,4.2,3.1134,3.290566666666667,3.2354666666666665,8.578533333333333,3.2306333333333335
14596_RL35_HUMAN,60S ribosomal protein L35 OS=Homo sapiens GN=RPL35 PE=1 SV=2,4.333333333333333,3.3460666666666667,2.892733333333333,2.3437666666666663,3.3704,1.501
11701_NUDT5_HUMAN,ADP-sugar pyrophosphatase OS=Homo sapiens GN=NUDT5 PE=1 SV=1,2.9716,4.0009,3.7883666666666667,3.3873666666666664,2.7592333333333334,4.6432
18838_VIGLN_HUMAN,Vigilin OS=Homo sapiens GN=HDLBP PE=1 SV=2,15.709866666666667,10.366866666666667,14.8217,36.24296666666667,22.5195,14.5018
5047_ECHA_HUMAN,Trifunctional enzyme subunit alpha_ mitochondrial OS=Homo sapiens GN=HADHA PE=1 SV=2,12.409166666666668,9.673333333333332,12.756733333333333,12.139199999999999,22.774066666666666,14.896866666666666
1845_BZW2_HUMAN,Basic leucine zipper and W2 domain-containing protein 2 OS=Homo sapiens GN=BZW2 PE=1 SV=1,1.2945,2.1288,2.2513,1.0496,2.734766666666667,1.2685
11716_NUP54_HUMAN,Nucleoporin p54 OS=Homo sapiens GN=NUP54 PE=1 SV=2,5.9129000000000005,21.531333333333333,10.512566666666666,10.0326,2.8502,12.614833333333333
9624_LRC59_HUMAN,Leucine-rich repeat-containing protein 59 OS=Homo sapiens GN=LRRC59 PE=1 SV=1,11.055333333333333,6.765266666666666,10.553766666666668,6.692366666666667,36.332366666666665,7.5609
2763_CECR5_HUMAN,Cat eye syndrome critical region protein 5 OS=Homo sapiens GN=CECR5 PE=1 SV=1,1.9071,2.2180999999999997,7.980533333333333,4.6328,1.7304333333333333,3.4893
13278_PMM2_HUMAN,Phosphomannomutase 2 OS=Homo sapiens GN=PMM2 PE=1 SV=1,1.0406666666666666,2.6180666666666665,1.4847666666666668,0.4194,0.6675333333333333,0.49556666666666666
815_ANM5_HUMAN,Protein arginine N-methyltransferase 5 OS=Homo sapiens GN=PRMT5 PE=1 SV=4,10.6751,10.043899999999999,8.300833333333333,10.8583,3.7607666666666666,8.192066666666667
4731_DNJC9_HUMAN,DnaJ homolog subfamily C member 9 OS=Homo sapiens GN=DNAJC9 PE=1 SV=1,0.8283666666666667,2.6298333333333335,0.8711333333333333,5.427333333333333,4.181733333333334,8.374
14588_RL27_HUMAN,60S ribosomal protein L27 OS=Homo sapiens GN=RPL27 PE=1 SV=2,4.8307,5.876666666666667,5.136733333333334,5.636933333333333,5.0305333333333335,5.096433333333334
13750_PSD11_HUMAN,26S proteasome non-ATPase regulatory subunit 11 OS=Homo sapiens GN=PSMD11 PE=1 SV=3,4.103133333333333,6.0503,7.3717,14.259966666666667,24.612333333333336,18.0725
13228_PLOD1_HUMAN,Procollagen-lysine_2-oxoglutarate 5-dioxygenase 1 OS=Homo sapiens GN=PLOD1 PE=1 SV=2,4.494266666666666,5.2284,4.8341,9.104566666666667,14.449433333333333,7.9668
10255_METK2_HUMAN,S-adenosylmethionine synthase isoform type-2 OS=Homo sapiens GN=MAT2A PE=1 SV=1,5.858433333333333,10.4427,16.606466666666666,5.090333333333334,2.6951,8.786566666666666
3299_CLH1_HUMAN,Clathrin heavy chain 1 OS=Homo sapiens GN=CLTC PE=1 SV=5,94.80326666666667,80.27716666666667,93.0772,106.4128,203.1409,128.33806666666666
6171_FKBP4_HUMAN,Peptidyl-prolyl cis-trans isomerase FKBP4 OS=Homo sapiens GN=FKBP4 PE=1 SV=3,15.934366666666667,21.105033333333335,28.117733333333334,30.54136666666667,41.486533333333334,31.734366666666666
14247_RCC1_HUMAN,Regulator of chromosome condensation OS=Homo sapiens GN=RCC1 PE=1 SV=1,7.642266666666667,4.042033333333333,6.323966666666667,5.967033333333333,1.6719,5.142766666666667
4448_DDX42_HUMAN,ATP-dependent RNA helicase DDX42 OS=Homo sapiens GN=DDX42 PE=1 SV=1,6.462666666666667,3.7573666666666665,6.376966666666666,4.760133333333333,11.551733333333333,9.940100000000001
4713_DNJA3_HUMAN,DnaJ homolog subfamily A member 3_ mitochondrial OS=Homo sapiens GN=DNAJA3 PE=1 SV=2,2.0523333333333333,0.42956666666666665,3.1972666666666667,3.836266666666667,8.3921,3.2436333333333334
14595_RL35A_HUMAN,60S ribosomal protein L35a OS=Homo sapiens GN=RPL35A PE=1 SV=2,4.126133333333334,3.9962333333333335,3.954766666666667,3.5064666666666664,2.7656,3.642866666666667
4115_CUL1_HUMAN,Cullin-1 OS=Homo sapiens GN=CUL1 PE=1 SV=2,4.226366666666666,6.5401,5.002,5.1082,4.4375,9.419566666666666
4643_DKC1_HUMAN,H/ACA ribonucleoprotein complex subunit 4 OS=Homo sapiens GN=DKC1 PE=1 SV=3,1.7001666666666666,0.9338,0.6389,5.064766666666666,19.207866666666664,3.117
5545_EZRI_HUMAN,Ezrin OS=Homo sapiens GN=EZR PE=1 SV=4,55.26426666666667,79.26686666666667,84.7433,95.58283333333333,112.6234,86.85733333333334
6186_FLNB_HUMAN,Filamin-B OS=Homo sapiens GN=FLNB PE=1 SV=2,38.72103333333333,35.718,45.17966666666667,101.30533333333332,109.50056666666667,81.61183333333334
13776_PSMD5_HUMAN,26S proteasome non-ATPase regulatory subunit 5 OS=Homo sapiens GN=PSMD5 PE=1 SV=3,7.938066666666667,8.872466666666666,9.629,8.172066666666666,20.8903,5.719633333333333
11416_NOLC1_HUMAN,Nucleolar and coiled-body phosphoprotein 1 OS=Homo sapiens GN=NOLC1 PE=1 SV=2,13.661,11.9621,12.918066666666666,17.009366666666665,4.2965,14.361133333333333
4415_DDB1_HUMAN,DNA damage-binding protein 1 OS=Homo sapiens GN=DDB1 PE=1 SV=1,27.418533333333336,23.6444,18.883533333333332,34.25533333333333,46.5364,21.679133333333333
18940_VTA1_HUMAN,Vacuolar protein sorting-associated protein VTA1 homolog OS=Homo sapiens GN=VTA1 PE=1 SV=1,1.2522,3.096833333333333,1.1195333333333335,3.1827,5.096433333333334,5.545366666666666
4463_DDX5_HUMAN,Probable ATP-dependent RNA helicase DDX5 OS=Homo sapiens GN=DDX5 PE=1 SV=1,13.402166666666666,16.273966666666666,30.9244,19.820233333333334,6.333933333333333,16.6499
16005_SMC4_HUMAN,Structural maintenance of chromosomes protein 4 OS=Homo sapiens GN=SMC4 PE=1 SV=2,4.113733333333333,4.753066666666666,4.077066666666667,7.040566666666667,11.769033333333333,12.748333333333335
3964_CSN2_HUMAN,COP9 signalosome complex subunit 2 OS=Homo sapiens GN=COPS2 PE=1 SV=1,12.918066666666666,4.288466666666666,2.7257666666666664,3.7942333333333336,7.6959333333333335,3.2103666666666664
1312_ATD3B_HUMAN,ATPase family AAA domain-containing protein 3B OS=Homo sapiens GN=ATAD3B PE=1 SV=1,3.0455666666666668,5.3607000000000005,3.913133333333333,5.8662,0.5327,6.333933333333333
10368_MIPEP_HUMAN,Mitochondrial intermediate peptidase OS=Homo sapiens GN=MIPEP PE=1 SV=2,3.210733333333333,2.6729,2.177,5.4623,5.532266666666667,3.3855333333333335
17903_TOP1_HUMAN,DNA topoisomerase 1 OS=Homo sapiens GN=TOP1 PE=1 SV=2,23.940966666666668,24.220399999999998,24.1561,25.647666666666666,6.4262,19.820233333333334
