protein_accession,protein_description,con1,con2,con3,trt1,trt2,trt3
4562_DHE3_HUMAN,Glutamate dehydrogenase 1_ mitochondrial OS=Homo sapiens GN=GLUD1 PE=1 SV=2,8.73835,11.836500000000001,8.666500000000001,13.337283333333334,0.86075,9.343483333333333
14948_RS2_HUMAN,40S ribosomal protein S2 OS=Homo sapiens GN=RPS2 PE=1 SV=2,24.63811666666667,28.387533333333334,31.28408333333333,14.1713,14.4218,13.67095
14333_RET1_HUMAN,Retinol-binding protein 1 OS=Homo sapiens GN=RBP1 PE=1 SV=2,0.6251333333333333,0.7185166666666667,0.6468,1.5841833333333333,1.0512833333333333,2.1390833333333332
1378_ATPO_HUMAN,ATP synthase subunit O_ mitochondrial OS=Homo sapiens GN=ATP5O PE=1 SV=1,9.166716666666666,11.901466666666666,4.532583333333333,5.452216666666667,4.244433333333333,4.73555
14917_RRP44_HUMAN,Exosome complex exonuclease RRP44 OS=Homo sapiens GN=DIS3 PE=1 SV=2,5.127416666666667,7.692983333333333,5.363316666666667,5.860283333333333,14.79635,6.252483333333333
12782_PDIA1_HUMAN,Protein disulfide-isomerase OS=Homo sapiens GN=P4HB PE=1 SV=3,40.170833333333334,39.69178333333333,33.71106666666667,33.18546666666667,23.835733333333334,42.57576666666667
14568_RL11_HUMAN,60S ribosomal protein L11 OS=Homo sapiens GN=RPL11 PE=1 SV=2,14.4218,14.8428,20.5311,8.162116666666666,2.9271166666666666,13.977866666666667
12787_PDIA6_HUMAN,Protein disulfide-isomerase A6 OS=Homo sapiens GN=PDIA6 PE=1 SV=1,11.120166666666666,11.0699,13.19895,19.1428,4.2635499999999995,10.250183333333332
14940_RS25_HUMAN,40S ribosomal protein S25 OS=Homo sapiens GN=RPS25 PE=1 SV=1,11.0699,6.584883333333333,4.34685,4.845683333333334,2.50305,5.420916666666667
16086_SND1_HUMAN,Staphylococcal nuclease domain-containing protein 1 OS=Homo sapiens GN=SND1 PE=1 SV=1,18.29945,17.658733333333334,13.399683333333334,20.176783333333333,22.023383333333335,16.582916666666666
18999_WDR1_HUMAN,WD repeat-containing protein 1 OS=Homo sapiens GN=WDR1 PE=1 SV=4,17.446733333333334,16.7787,27.735083333333332,20.82708333333333,26.680083333333332,30.75685
16440_SQRD_HUMAN,Sulfide:quinone oxidoreductase_ mitochondrial OS=Homo sapiens GN=SQRDL PE=1 SV=1,4.4253,5.798583333333333,7.297933333333333,5.589533333333334,1.74335,4.966283333333333
16772_SYAC_HUMAN,Alanine--tRNA ligase_ cytoplasmic OS=Homo sapiens GN=AARS PE=1 SV=2,21.719916666666666,10.472633333333334,16.687516666666667,29.145433333333333,18.221633333333333,20.5311
16714_SUCB2_HUMAN,Succinyl-CoA ligase [GDP-forming] subunit beta_ mitochondrial OS=Homo sapiens GN=SUCLG2 PE=1 SV=2,3.1075666666666666,3.4085166666666664,3.1585833333333335,8.0648,2.5826166666666666,6.450866666666666
6364_FUBP2_HUMAN,Far upstream element-binding protein 2 OS=Homo sapiens GN=KHSRP PE=1 SV=4,26.5194,27.4941,26.077166666666667,15.844916666666666,14.663816666666666,16.43915
6619_GCN1L_HUMAN,Translational activator GCN1 OS=Homo sapiens GN=GCN1L1 PE=1 SV=6,42.1923,32.00801666666666,32.939566666666664,68.5509,32.494366666666664,63.355466666666665
14260_RD23B_HUMAN,UV excision repair protein RAD23 homolog B OS=Homo sapiens GN=RAD23B PE=1 SV=1,10.287083333333333,8.488816666666667,7.402916666666666,12.404233333333334,5.104566666666667,9.790783333333334
15041_RU17_HUMAN,U1 small nuclear ribonucleoprotein 70 kDa OS=Homo sapiens GN=SNRNP70 PE=1 SV=2,11.134883333333333,11.6762,9.324416666666666,10.998516666666667,12.781233333333333,13.138816666666667
6371_FUMH_HUMAN,Fumarate hydratase_ mitochondrial OS=Homo sapiens GN=FH PE=1 SV=3,6.723116666666667,5.4111,4.850216666666666,8.506033333333333,5.55505,8.9788
7418_HDGR2_HUMAN,Hepatoma-derived growth factor-related protein 2 OS=Homo sapiens GN=HDGFRP2 PE=1 SV=1,1.7258666666666667,2.9271166666666666,6.9077166666666665,1.8138833333333333,3.287183333333333,3.353666666666667
13179_PLCB3_HUMAN,1-phosphatidylinositol 4_5-bisphosphate phosphodiesterase beta-3 OS=Homo sapiens GN=PLCB3 PE=1 SV=2,8.4684,10.646333333333335,9.131450000000001,26.904216666666667,5.0217,11.51955
5559_F10A5_HUMAN,Putative protein FAM10A5 OS=Homo sapiens GN=ST13P5 PE=5 SV=1,9.542583333333333,9.288833333333333,5.343133333333333,12.293883333333333,0.16295,2.0798666666666668
7930_IDHC_HUMAN,Isocitrate dehydrogenase [NADP] cytoplasmic OS=Homo sapiens GN=IDH1 PE=1 SV=2,2.91065,2.5101,2.4847166666666665,7.9893833333333335,6.99335,6.723116666666667
16861_SYTC_HUMAN,Threonine--tRNA ligase_ cytoplasmic OS=Homo sapiens GN=TARS PE=1 SV=3,20.82708333333333,36.98108333333333,32.62521666666667,18.759666666666668,17.446733333333334,19.463333333333335
15625_SEP14_HUMAN,Septin-14 OS=Homo sapiens GN=SEPT14 PE=1 SV=2,0.17291666666666666,9.11345,0.4268,2.51425,0.9363666666666667,0.34825
17083_TBB3_HUMAN,Tubulin beta-3 chain OS=Homo sapiens GN=TUBB3 PE=1 SV=2,6.23335,5.057783333333333,5.919133333333333,7.785616666666667,15.44305,1.2306833333333334
10014_MARE2_HUMAN,Microtubule-associated protein RP/EB family member 2 OS=Homo sapiens GN=MAPRE2 PE=1 SV=1,0.8626999999999999,0.19511666666666666,0.38688333333333336,1.1643166666666667,0.1001,0.9111
14557_RIR1_HUMAN,Ribonucleoside-diphosphate reductase large subunit OS=Homo sapiens GN=RRM1 PE=1 SV=1,15.89505,13.597216666666666,11.901466666666666,10.778583333333334,31.28408333333333,21.51965
10824_MYG1_HUMAN,UPF0160 protein MYG1_ mitochondrial OS=Homo sapiens GN=C12orf10 PE=1 SV=2,1.6230833333333334,2.35625,1.9576,2.8118333333333334,11.091733333333334,4.532583333333333
17081_TBB2A_HUMAN,Tubulin beta-2A chain OS=Homo sapiens GN=TUBB2A PE=1 SV=1,6.0776,22.195533333333334,4.045466666666667,5.0362833333333334,3.5381,5.4111
14593_RL32_HUMAN,60S ribosomal protein L32 OS=Homo sapiens GN=RPL32 PE=1 SV=2,3.7708333333333335,1.61105,1.5406333333333333,1.8209166666666667,2.1641,0.38688333333333336
4825_DPP3_HUMAN,Dipeptidyl peptidase 3 OS=Homo sapiens GN=DPP3 PE=1 SV=2,5.420916666666667,9.412566666666667,6.520716666666667,9.11345,3.5979666666666668,8.426483333333334
7627_HNRPK_HUMAN,Heterogeneous nuclear ribonucleoprotein K OS=Homo sapiens GN=HNRNPK PE=1 SV=1,37.971466666666664,30.301633333333335,36.20333333333333,29.060966666666666,10.963383333333333,32.939566666666664
16942_T2FB_HUMAN,General transcription factor IIF subunit 2 OS=Homo sapiens GN=GTF2F2 PE=1 SV=2,2.1331166666666665,1.48265,2.3166333333333333,1.0193166666666666,7.014883333333334,1.4588166666666667
18657_UGGG1_HUMAN,UDP-glucose:glycoprotein glucosyltransferase 1 OS=Homo sapiens GN=UGGT1 PE=1 SV=3,9.821983333333334,6.421733333333333,8.192683333333333,8.666500000000001,33.465666666666664,10.1929
14577_RL19_HUMAN,60S ribosomal protein L19 OS=Homo sapiens GN=RPL19 PE=1 SV=1,8.4149,6.9077166666666665,8.73835,7.014883333333334,3.3156833333333333,10.08335
7_1433S_HUMAN,14-3-3 protein sigma OS=Homo sapiens GN=SFN PE=1 SV=1,10.963383333333333,7.159166666666667,10.287083333333333,12.450416666666667,0.19511666666666666,8.73835
6440_G3BP2_HUMAN,Ras GTPase-activating protein-binding protein 2 OS=Homo sapiens GN=G3BP2 PE=1 SV=2,6.8261,2.682383333333333,4.503933333333333,4.7909999999999995,9.507366666666666,4.822066666666666
18029_TRAP1_HUMAN,Heat shock protein 75 kDa_ mitochondrial OS=Homo sapiens GN=TRAP1 PE=1 SV=3,26.76195,40.477516666666666,20.0773,25.97485,13.892866666666666,29.971616666666666
15630_SEPT2_HUMAN,Septin-2 OS=Homo sapiens GN=SEPT2 PE=1 SV=1,4.482333333333333,3.6725166666666667,5.6358500000000005,5.2655,9.288833333333333,4.98525
18367_TWF1_HUMAN,Twinfilin-1 OS=Homo sapiens GN=TWF1 PE=1 SV=3,3.2068333333333334,3.2754833333333333,3.8503166666666666,4.388216666666667,1.7310166666666666,4.710133333333333
14618_RL8_HUMAN,60S ribosomal protein L8 OS=Homo sapiens GN=RPL8 PE=1 SV=2,13.257966666666666,11.95365,14.070433333333334,8.426483333333334,25.778366666666667,6.615816666666667
909_AP2B1_HUMAN,AP-2 complex subunit beta OS=Homo sapiens GN=AP2B1 PE=1 SV=1,13.53425,10.054783333333333,10.250183333333332,9.343483333333333,17.981383333333333,11.413633333333333
12466_PABP1_HUMAN,Polyadenylate-binding protein 1 OS=Homo sapiens GN=PABPC1 PE=1 SV=2,32.00801666666666,31.13511666666667,28.387533333333334,22.571166666666667,9.131450000000001,15.604416666666667
16477_SRP68_HUMAN,Signal recognition particle subunit SRP68 OS=Homo sapiens GN=SRP68 PE=1 SV=2,7.002233333333333,13.09735,8.4415,10.106166666666667,7.867783333333334,6.3496
8793_KHDR1_HUMAN,KH domain-containing_ RNA-binding_ signal transduction-associated protein 1 OS=Homo sapiens GN=KHDRBS1 PE=1 SV=1,13.337283333333334,5.1168000000000005,5.466283333333333,5.188583333333334,16.687516666666667,0.5540666666666667
13413_PPAC_HUMAN,Low molecular weight phosphotyrosine protein phosphatase OS=Homo sapiens GN=ACP1 PE=1 SV=3,2.11865,0.66975,1.3611333333333333,0.7951,0.4268,0.9519666666666666
4445_DDX3X_HUMAN,ATP-dependent RNA helicase DDX3X OS=Homo sapiens GN=DDX3X PE=1 SV=3,10.646333333333335,10.029916666666667,16.962566666666667,11.75565,7.1680166666666665,9.456983333333334
14223_RBP56_HUMAN,TATA-binding protein-associated factor 2N OS=Homo sapiens GN=TAF15 PE=1 SV=1,0.31378333333333336,2.11865,6.252483333333333,0.1001,6.169966666666666,0.30551666666666666
5903_FAF2_HUMAN,FAS-associated factor 2 OS=Homo sapiens GN=FAF2 PE=1 SV=2,2.03095,2.527633333333333,3.2449166666666667,2.1906166666666667,2.398416666666667,1.37405
6044_FCL_HUMAN,GDP-L-fucose synthase OS=Homo sapiens GN=TSTA3 PE=1 SV=1,1.65295,1.6172666666666666,3.2382,1.1881833333333334,1.9012333333333333,2.7247833333333333
14580_RL22L_HUMAN,60S ribosomal protein L22-like 1 OS=Homo sapiens GN=RPL22L1 PE=1 SV=2,2.3192166666666667,4.845683333333334,3.1713833333333334,1.9487333333333334,9.726166666666666,2.3059833333333333
3743_CPNE3_HUMAN,Copine-3 OS=Homo sapiens GN=CPNE3 PE=1 SV=1,25.67205,14.663816666666666,13.09735,12.881966666666667,12.2593,12.359016666666667
15635_SEPT7_HUMAN,Septin-7 OS=Homo sapiens GN=SEPT7 PE=1 SV=2,5.522966666666667,3.1144499999999997,6.11375,2.9693833333333335,1.8254833333333333,3.1075666666666666
881_ANXA2_HUMAN,Annexin A2 OS=Homo sapiens GN=ANXA2 PE=1 SV=2,45.795966666666665,44.67563333333333,48.64273333333333,35.875483333333335,8.91525,41.161966666666665
8439_JIP4_HUMAN,C-Jun-amino-terminal kinase-interacting protein 4 OS=Homo sapiens GN=SPAG9 PE=1 SV=4,4.28285,4.850216666666666,5.20025,4.9465666666666666,4.902033333333333,3.581566666666667
2575_CD2AP_HUMAN,CD2-associated protein OS=Homo sapiens GN=CD2AP PE=1 SV=1,4.120583333333333,5.06455,3.7708333333333335,4.6675,2.9017666666666666,3.564
15637_SEPT9_HUMAN,Septin-9 OS=Homo sapiens GN=SEPT9 PE=1 SV=2,13.063616666666666,14.869683333333333,18.29945,8.368450000000001,4.201966666666666,8.134483333333334
12927_PGK1_HUMAN,Phosphoglycerate kinase 1 OS=Homo sapiens GN=PGK1 PE=1 SV=3,29.770183333333332,20.6876,20.860733333333332,32.215316666666666,19.28066666666667,28.65533333333333
