protein.key_protein.Accession,protein.Description,protein.ngramOnColumn -> EmillyBowler_KOGSK_Rep1_001_Merged_Spectrum_IA_final_protein,protein.ngramOnColumn -> EmillyBowler_KOGSK_Rep2_Merged_IA_final_protein,protein.ngramOnColumn -> EmillyBowler_KOGSK_Rep3_001_Merged_Spectrum_IA_final_protein,protein.ngramOnColumn -> EmillyBowler_WT_Rep1_001_Merged_Spectrum_IA_final_protein,protein.ngramOnColumn -> EmillyBowler_WT_Rep2_001_Merged_Spectrum_IA_final_protein,protein.ngramOnColumn -> EmillyBowler_WT_Rep3_001_Merged_Spectrum_IA_final_protein,Present_NumFiles
4562_DHE3_HUMAN,Glutamate dehydrogenase 1_ mitochondrial OS=Homo sapiens GN=GLUD1 PE=1 SV=2,27.7542,0.1452,6.3909,4.9461,10.2269,11.0170,6
14948_RS2_HUMAN,40S ribosomal protein S2 OS=Homo sapiens GN=RPS2 PE=1 SV=2,29.3896,8.7882,8.8891,12.7751,24.2692,37.1832,6
14333_RET1_HUMAN,Retinol-binding protein 1 OS=Homo sapiens GN=RBP1 PE=1 SV=2,3.7469,0.1987,1.3474,0.3464,0.5293,0.9008,6
1378_ATPO_HUMAN,ATP synthase subunit O_ mitochondrial OS=Homo sapiens GN=ATP5O PE=1 SV=1,11.9814,1.2412,3.2863,5.2664,10.2705,6.0448,6
14917_RRP44_HUMAN,Exosome complex exonuclease RRP44 OS=Homo sapiens GN=DIS3 PE=1 SV=2,12.9154,9.2019,4.2921,2.9851,6.4961,7.2218,6
12782_PDIA1_HUMAN,Protein disulfide-isomerase OS=Homo sapiens GN=P4HB PE=1 SV=3,66.4334,17.0509,29.3762,20.2222,31.9993,39.6739,6
14568_RL11_HUMAN,60S ribosomal protein L11 OS=Homo sapiens GN=RPL11 PE=1 SV=2,17.6822,0.7231,9.1611,7.9322,12.8168,24.2163,6
12787_PDIA6_HUMAN,Protein disulfide-isomerase A6 OS=Homo sapiens GN=PDIA6 PE=1 SV=1,39.0818,1.2438,6.8752,6.2604,9.5658,16.9534,6
14940_RS25_HUMAN,40S ribosomal protein S25 OS=Homo sapiens GN=RPS25 PE=1 SV=1,10.7875,0.6096,3.8052,6.2313,5.4721,5.7866,6
16086_SND1_HUMAN,Staphylococcal nuclease domain-containing protein 1 OS=Homo sapiens GN=SND1 PE=1 SV=1,41.5182,15.7462,10.7322,10.0317,15.1647,17.2713,6
18999_WDR1_HUMAN,WD repeat-containing protein 1 OS=Homo sapiens GN=WDR1 PE=1 SV=4,43.2542,20.2854,19.4100,9.6607,14.7186,33.9432,6
16440_SQRD_HUMAN,Sulfide:quinone oxidoreductase_ mitochondrial OS=Homo sapiens GN=SQRDL PE=1 SV=1,12.3261,0.3778,3.4409,2.6213,4.8371,9.4220,6
16772_SYAC_HUMAN,Alanine--tRNA ligase_ cytoplasmic OS=Homo sapiens GN=AARS PE=1 SV=2,59.6671,12.8169,13.0938,11.2903,8.9831,20.4896,6
16714_SUCB2_HUMAN,Succinyl-CoA ligase [GDP-forming] subunit beta_ mitochondrial OS=Homo sapiens GN=SUCLG2 PE=1 SV=2,17.5304,0.6408,4.4076,1.9030,2.8920,4.2030,6
6364_FUBP2_HUMAN,Far upstream element-binding protein 2 OS=Homo sapiens GN=KHSRP PE=1 SV=4,32.6730,8.9321,10.6733,13.4392,23.7558,32.0783,6
6619_GCN1L_HUMAN,Translational activator GCN1 OS=Homo sapiens GN=GCN1L1 PE=1 SV=6,148.3368,26.4787,36.9101,20.8661,27.8322,39.1296,6
14260_RD23B_HUMAN,UV excision repair protein RAD23 homolog B OS=Homo sapiens GN=RAD23B PE=1 SV=1,26.1502,1.6825,6.5736,5.8759,7.2811,9.5051,6
15041_RU17_HUMAN,U1 small nuclear ribonucleoprotein 70 kDa OS=Homo sapiens GN=SNRNP70 PE=1 SV=2,23.5215,7.0686,8.5934,6.3248,10.1186,12.0769,6
6371_FUMH_HUMAN,Fumarate hydratase_ mitochondrial OS=Homo sapiens GN=FH PE=1 SV=3,18.5710,2.0126,6.1675,3.6974,4.5007,6.5497,6
7418_HDGR2_HUMAN,Hepatoma-derived growth factor-related protein 2 OS=Homo sapiens GN=HDGFRP2 PE=1 SV=1,4.2129,0.8868,2.2271,1.0271,2.4064,8.9644,6
13179_PLCB3_HUMAN,1-phosphatidylinositol 4_5-bisphosphate phosphodiesterase beta-3 OS=Homo sapiens GN=PLCB3 PE=1 SV=2,54.0928,1.6093,7.7007,4.7467,9.1490,11.7976,6
5559_F10A5_HUMAN,Putative protein FAM10A5 OS=Homo sapiens GN=ST13P5 PE=5 SV=1,25.7355,0.0332,1.3139,5.3904,7.9833,7.1955,6
7930_IDHC_HUMAN,Isocitrate dehydrogenase [NADP] cytoplasmic OS=Homo sapiens GN=IDH1 PE=1 SV=2,17.4808,2.8585,4.5727,1.7252,2.0923,3.3431,6
16861_SYTC_HUMAN,Threonine--tRNA ligase_ cytoplasmic OS=Homo sapiens GN=TARS PE=1 SV=3,37.9259,12.2959,12.3009,11.0712,30.0688,38.6379,6
15625_SEP14_HUMAN,Septin-14 OS=Homo sapiens GN=SEPT14 PE=1 SV=2,5.9095,0.1697,0.1786,0.0810,7.7593,0.6155,6
