protein.Accession,protein.Description,1 None,2 None,3 None,1 TGFB,2 TGFB,3 TGFB
Q96I99,Succinyl-CoA ligase [GDP-forming] subunit beta_ mitochondrial OS=Homo sapiens GN=SUCLG2 PE=1 SV=2,28.4949,106.8396,293.2002,387.0081,304.8753,98.0508
Q7Z460,CLIP-associating protein 1 OS=Homo sapiens GN=CLASP1 PE=1 SV=1,44.8866,197.3523,603.702,375.0015,604.5246,221.2101
Q9H0E2,Toll-interacting protein OS=Homo sapiens GN=TOLLIP PE=1 SV=1,106.824,158.0661,692.1888,322.0914,174.4302,168.3231
P40227,T-complex protein 1 subunit zeta OS=Homo sapiens GN=CCT6A PE=1 SV=3,270.2424,775.0287,3971.79,1508.0079,1047.8223,864.7968
P13693,Translationally-controlled tumor protein OS=Homo sapiens GN=TPT1 PE=1 SV=1,112.0071,380.7966,1573.707,597.5718,458.7342,396.1308
P20936,Ras GTPase-activating protein 1 OS=Homo sapiens GN=RASA1 PE=1 SV=1,75.8226,179.694,681.2583,304.9485,217.5315,121.9545
P33527,Multidrug resistance-associated protein 1 OS=Homo sapiens GN=ABCC1 PE=1 SV=3,80.0157,111.1188,610.5942,253.9833,84.5673,66.1941
Q9NZL4,Hsp70-binding protein 1 OS=Homo sapiens GN=HSPBP1 PE=1 SV=1,44.505,103.7091,196.9035,230.7723,140.8623,99.3747
P16435,NADPH--cytochrome P450 reductase OS=Homo sapiens GN=POR PE=1 SV=2,152.7489,232.0212,758.7363,472.6998,208.6536,170.9388
Q9NZL9,Methionine adenosyltransferase 2 subunit beta OS=Homo sapiens GN=MAT2B PE=1 SV=1,176.9745,139.3089,748.1607,333.7992,157.1022,160.7385
Q13724,Mannosyl-oligosaccharide glucosidase OS=Homo sapiens GN=MOGS PE=1 SV=5,272.559,227.6577,1087.0794,685.8594,356.4543,246.9675
Q9H4M9,EH domain-containing protein 1 OS=Homo sapiens GN=EHD1 PE=1 SV=2,326.2305,201.9036,1679.1507,499.9839,580.998,356.6904
P84077,ADP-ribosylation factor 1 OS=Homo sapiens GN=ARF1 PE=1 SV=2,454.1661,460.4586,2156.334,540.7146,340.2546,306.4608
P84074,Neuron-specific calcium-binding protein hippocalcin OS=Homo sapiens GN=HPCA PE=1 SV=2,93.3291,20.8773,38.403,117.2964,6.5226,4.2459
P23919,Thymidylate kinase OS=Homo sapiens GN=DTYMK PE=1 SV=4,111.8808,179.0415,980.3502,254.8053,207.5967,147.1587
Q9BUF5,Tubulin beta-6 chain OS=Homo sapiens GN=TUBB6 PE=1 SV=1,760.6716,515.5206,2725.3677,1050.1764,778.017,883.6401
Q4VXU2,Polyadenylate-binding protein 1-like OS=Homo sapiens GN=PABPC1L PE=2 SV=1,70.8021,64.2357,122.7408,66.8253,96.6249,39.6342
Q96N66,Lysophospholipid acyltransferase 7 OS=Homo sapiens GN=MBOAT7 PE=1 SV=2,61.7469,47.7966,511.9971,193.6611,153.1863,164.1768
Q07960,Rho GTPase-activating protein 1 OS=Homo sapiens GN=ARHGAP1 PE=1 SV=1,184.3206,484.8102,2178.2847,991.7163,665.0574,390.0402
Q96N67,Dedicator of cytokinesis protein 7 OS=Homo sapiens GN=DOCK7 PE=1 SV=4,108.1221,200.4453,888.6222,412.0005,318.7473,213.5829
Q03252,Lamin-B2 OS=Homo sapiens GN=LMNB2 PE=1 SV=3,339.0468,157.3974,1460.0118,464.3652,381.9123,305.6175
P02545,Prelamin-A/C OS=Homo sapiens GN=LMNA PE=1 SV=1,2453.2254,1640.8503,9926.472,2703.1839,2476.974,1667.0388
P40429,60S ribosomal protein L13a OS=Homo sapiens GN=RPL13A PE=1 SV=2,163.0839,83.1663,1675.3695,558.732,398.4651,192.5766
Q13838,Spliceosome RNA helicase DDX39B OS=Homo sapiens GN=DDX39B PE=1 SV=1,289.6875,528.3732,2068.0083,1070.2875,672.6789,533.0343
P62258,14-3-3 protein epsilon OS=Homo sapiens GN=YWHAE PE=1 SV=1,604.5663,892.9017,4238.061,1306.8423,982.968,831.1587
P48960,CD97 antigen OS=Homo sapiens GN=CD97 PE=1 SV=4,107.427,84.3078,560.7954,172.7352,275.016,156.9048
P04259,Keratin_ type II cytoskeletal 6B OS=Homo sapiens GN=KRT6B PE=1 SV=5,20.6064,57.9612,572.2239,284.2227,300.7659,9.2907
P05386,60S acidic ribosomal protein P1 OS=Homo sapiens GN=RPLP1 PE=1 SV=1,95.5533,420.0594,2086.0497,974.772,753.2196,620.1303
P05387,60S acidic ribosomal protein P2 OS=Homo sapiens GN=RPLP2 PE=1 SV=1,85.3902,573.297,3685.38,1474.3917,961.8261,652.5555
P05388,60S acidic ribosomal protein P0 OS=Homo sapiens GN=RPLP0 PE=1 SV=1,85.4367,431.0058,2254.7919,1300.1049,652.1661,603.7521
Q9UJ70,N-acetyl-D-glucosamine kinase OS=Homo sapiens GN=NAGK PE=1 SV=4,221.1021,323.4423,1646.8191,592.6665,537.5376,431.9517
P20618,Proteasome subunit beta type-1 OS=Homo sapiens GN=PSMB1 PE=1 SV=2,392.3304,603.3921,2831.2596,1278.0225,884.8758,596.5815
P52272,Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens GN=HNRNPM PE=1 SV=3,934.8525,701.4795,2786.1312,1768.9182,967.8492,577.0641
Q15366,Poly(rC)-binding protein 2 OS=Homo sapiens GN=PCBP2 PE=1 SV=1,233.8959,449.6244,1879.035,639.9849,840.3324,438.1242
Q15365,Poly(rC)-binding protein 1 OS=Homo sapiens GN=PCBP1 PE=1 SV=2,398.8143,526.7463,2357.6928,933.1296,762.9681,572.9574
O15258,Protein RER1 OS=Homo sapiens GN=RER1 PE=1 SV=1,86.9532,140.8512,642.261,124.9878,168.9858,155.6949
Q9H9Y6,DNA-directed RNA polymerase I subunit RPA2 OS=Homo sapiens GN=POLR1B PE=1 SV=2,63.8739,71.0103,371.0652,197.3364,105.519,99.1962
P29401,Transketolase OS=Homo sapiens GN=TKT PE=1 SV=3,361.146,1018.2996,4975.839,1802.3019,1455.5061,868.3341
Q9Y305,Acyl-coenzyme A thioesterase 9_ mitochondrial OS=Homo sapiens GN=ACOT9 PE=1 SV=2,140.8086,106.6389,240.3033,297.4272,315.2133,140.4966
P39023,60S ribosomal protein L3 OS=Homo sapiens GN=RPL3 PE=1 SV=2,418.8369,1264.6263,5780.571,1830.5322,1451.9679,1314.7968
O75436,Vacuolar protein sorting-associated protein 26A OS=Homo sapiens GN=VPS26A PE=1 SV=2,212.637,223.5435,518.7372,190.1568,245.658,123.3132
P35241,Radixin OS=Homo sapiens GN=RDX PE=1 SV=1,47.2695,187.0803,1161.6459,340.8849,265.0779,216.0627
O75439,Mitochondrial-processing peptidase subunit beta OS=Homo sapiens GN=PMPCB PE=1 SV=2,132.2625,46.1934,217.7229,132.7647,71.0409,46.5999
P43034,Platelet-activating factor acetylhydrolase IB subunit alpha OS=Homo sapiens GN=PAFAH1B1 PE=1 SV=2,145.3731,338.7042,671.7936,203.0409,461.7177,229.5474
Q96AC1,Fermitin family homolog 2 OS=Homo sapiens GN=FERMT2 PE=1 SV=1,222.6369,383.2821,2039.6625,742.146,659.8065,444.8007
Q9NVP1,ATP-dependent RNA helicase DDX18 OS=Homo sapiens GN=DDX18 PE=1 SV=2,102.9687,374.664,1069.215,390.4338,428.3436,227.9901
Q96CS3,FAS-associated factor 2 OS=Homo sapiens GN=FAF2 PE=1 SV=2,49.4382,216.2031,1070.6166,427.6791,314.319,217.5444
P62807,Histone H2B type 1-C/E/F/G/I OS=Homo sapiens GN=HIST1H2BC PE=1 SV=4,755.7603,891.6105,3846.039,1134.9573,2635.455,1035.0273
P62805,Histone H4 OS=Homo sapiens GN=HIST1H4A PE=1 SV=2,1294.0923,1761.5604,6859.518,2667.8772,2420.4021,1720.7652
O60610,Protein diaphanous homolog 1 OS=Homo sapiens GN=DIAPH1 PE=1 SV=2,198.1179,267.7428,1133.061,503.4429,323.5188,291.6987
P17931,Galectin-3 OS=Homo sapiens GN=LGALS3 PE=1 SV=5,714.9942,889.6248,4476.954,1377.9192,862.1346,792.8955
Q9BXW6,Oxysterol-binding protein-related protein 1 OS=Homo sapiens GN=OSBPL1A PE=1 SV=2,223.0767,121.4217,1978.7901,537.3036,72.7416,278.2236
