protein.Accession,protein.Description,protein.fmolOnColumn -> 1+TGFB+1+to+12_IA_final_protein,protein.ngramOnColumn -> 1+TGFB+1+to+12_IA_final_protein,protein.fmolOnColumn -> 2+None+1+to+12_IA_final_protein,protein.ngramOnColumn -> 2+None+1+to+12_IA_final_protein,protein.fmolOnColumn -> LW_120613_1NONE_REPEAT_001_IA_final_protein,protein.ngramOnColumn -> LW_120613_1NONE_REPEAT_001_IA_final_protein,protein.fmolOnColumn -> LW_290513_2TGFB_001_IA_final_protein,protein.ngramOnColumn -> LW_290513_2TGFB_001_IA_final_protein,protein.fmolOnColumn -> LW_290513_3NONE_001_IA_final_protein,protein.ngramOnColumn -> LW_290513_3NONE_001_IA_final_protein,protein.fmolOnColumn -> LW_290513_3TGFB_001_IA_final_protein,protein.ngramOnColumn -> LW_290513_3TGFB_001_IA_final_protein,Present_NumFiles
Q96I99,Succinyl-CoA ligase [GDP-forming] subunit beta_ mitochondrial OS=Homo sapiens GN=SUCLG2 PE=1 SV=2,129.0027,6.0441,35.6132,1.6686,9.4983,0.445,101.6251,4.7614,97.7334,4.5791,32.6836,1.5313,6
Q7Z460,CLIP-associating protein 1 OS=Homo sapiens GN=CLASP1 PE=1 SV=1,125.0005,21.3097,65.7841,11.2147,14.9622,2.5507,201.5082,34.3526,201.234,34.3058,73.7367,12.5704,6
Q9H0E2,Toll-interacting protein OS=Homo sapiens GN=TOLLIP PE=1 SV=1,107.3638,3.2757,52.6887,1.6075,35.608,1.0864,58.1434,1.774,230.7296,7.0396,56.1077,1.7118,6
P40227,T-complex protein 1 subunit zeta OS=Homo sapiens GN=CCT6A PE=1 SV=3,502.6693,29.3964,258.3429,15.108,90.0808,5.268,349.2741,20.4257,1323.93,77.4241,288.2656,16.8579,6
P13693,Translationally-controlled tumor protein OS=Homo sapiens GN=TPT1 PE=1 SV=1,199.1906,3.9259,126.9322,2.5018,37.3357,0.7359,152.9114,3.0138,524.569,10.339,132.0436,2.6025,6
P20936,Ras GTPase-activating protein 1 OS=Homo sapiens GN=RASA1 PE=1 SV=1,101.6495,11.9251,59.898,7.027,25.2742,2.9651,72.5105,8.5066,227.0861,26.6408,40.6515,4.7691,6
P33527,Multidrug resistance-associated protein 1 OS=Homo sapiens GN=ABCC1 PE=1 SV=3,84.6611,14.6478,37.0396,6.4085,26.6719,4.6147,28.1891,4.8772,203.5314,35.2144,22.0647,3.8176,6
Q9NZL4,Hsp70-binding protein 1 OS=Homo sapiens GN=HSPBP1 PE=1 SV=1,76.9241,3.0935,34.5697,1.3902,14.835,0.5966,46.9541,1.8883,65.6345,2.6395,33.1249,1.3321,6
P16435,NADPH--cytochrome P450 reductase OS=Homo sapiens GN=POR PE=1 SV=2,157.5666,12.1556,77.3404,5.9665,50.9163,3.928,69.5512,5.3656,252.9121,19.5112,56.9796,4.3958,6
Q9NZL9,Methionine adenosyltransferase 2 subunit beta OS=Homo sapiens GN=MAT2B PE=1 SV=1,111.2664,4.2163,46.4363,1.7597,58.9915,2.2354,52.3674,1.9844,249.3869,9.4503,53.5795,2.0303,6
Q13724,Mannosyl-oligosaccharide glucosidase OS=Homo sapiens GN=MOGS PE=1 SV=5,228.6198,21.0533,75.8859,6.9882,90.853,8.3665,118.8181,10.9418,362.3598,33.3693,82.3225,7.581,6
Q9H4M9,EH domain-containing protein 1 OS=Homo sapiens GN=EHD1 PE=1 SV=2,166.6613,10.1137,67.3012,4.0841,108.7435,6.599,193.666,11.7524,559.7169,33.9659,118.8968,7.2151,6
P84077,ADP-ribosylation factor 1 OS=Homo sapiens GN=ARF1 PE=1 SV=2,180.2382,3.7406,153.4862,3.1854,151.3887,3.1419,113.4182,2.3539,718.778,14.9174,102.1536,2.1201,6
P84074,Neuron-specific calcium-binding protein hippocalcin OS=Homo sapiens GN=HPCA PE=1 SV=2,39.0988,0.8813,6.9591,0.1569,31.1097,0.7013,2.1742,0.049,12.801,0.2886,1.4153,0.0319,6
P23919,Thymidylate kinase OS=Homo sapiens GN=DTYMK PE=1 SV=4,84.9351,2.0376,59.6805,1.4318,37.2936,0.8947,69.1989,1.6601,326.7834,7.8397,49.0529,1.1768,6
Q9BUF5,Tubulin beta-6 chain OS=Homo sapiens GN=TUBB6 PE=1 SV=1,350.0588,17.6127,171.8402,8.6459,253.5572,12.7573,259.339,13.0482,908.4559,45.7076,294.5467,14.8197,6
Q4VXU2,Polyadenylate-binding protein 1-like OS=Homo sapiens GN=PABPC1L PE=2 SV=1,22.2751,1.5374,21.4119,1.4778,23.6007,1.6289,32.2083,2.223,40.9136,2.8238,13.2114,0.9118,6
Q96N66,Lysophospholipid acyltransferase 7 OS=Homo sapiens GN=MBOAT7 PE=1 SV=2,64.5537,3.4504,15.9322,0.8516,20.5823,1.1001,51.0621,2.7292,170.6657,9.122,54.7256,2.925,6
Q07960,Rho GTPase-activating protein 1 OS=Homo sapiens GN=ARHGAP1 PE=1 SV=1,330.5721,16.6915,161.6034,8.1598,61.4402,3.1023,221.6858,11.1935,726.0949,36.6626,130.0134,6.5647,6
Q96N67,Dedicator of cytokinesis protein 7 OS=Homo sapiens GN=DOCK7 PE=1 SV=4,137.3335,33.5702,66.8151,16.3325,36.0407,8.8099,106.2491,25.9718,296.2074,72.4058,71.1943,17.403,6
Q03252,Lamin-B2 OS=Homo sapiens GN=LMNB2 PE=1 SV=3,154.7884,10.4951,52.4658,3.5573,113.0156,7.6628,127.3041,8.6316,486.6706,32.9977,101.8725,6.9073,6
P02545,Prelamin-A/C OS=Homo sapiens GN=LMNA PE=1 SV=1,901.0613,67.0612,546.9501,40.7066,817.7418,60.8602,825.658,61.4494,3308.824,246.2583,555.6796,41.3563,6
P40429,60S ribosomal protein L13a OS=Homo sapiens GN=RPL13A PE=1 SV=2,186.244,4.4017,27.7221,0.6552,54.3613,1.2848,132.8217,3.1392,558.4565,13.1987,64.1922,1.5171,6
Q13838,Spliceosome RNA helicase DDX39B OS=Homo sapiens GN=DDX39B PE=1 SV=1,356.7625,17.6411,176.1244,8.7089,96.5625,4.7748,224.2263,11.0875,689.3361,34.0861,177.6781,8.7858,6
P62258,14-3-3 protein epsilon OS=Homo sapiens GN=YWHAE PE=1 SV=1,435.6141,12.7831,297.6339,8.7341,201.5221,5.9137,327.656,9.6151,1412.687,41.4554,277.0529,8.1301,6
P48960,CD97 antigen OS=Homo sapiens GN=CD97 PE=1 SV=4,57.5784,5.4506,28.1026,2.6603,35.809,3.3898,91.672,8.678,186.9318,17.6957,52.3016,4.9511,6
P04259,Keratin_ type II cytoskeletal 6B OS=Homo sapiens GN=KRT6B PE=1 SV=5,94.7409,5.7178,19.3204,1.166,6.8688,0.4145,100.2553,6.0506,190.7413,11.5117,3.0969,0.1869,6
P05386,60S acidic ribosomal protein P1 OS=Homo sapiens GN=RPLP1 PE=1 SV=1,324.924,3.7782,140.0198,1.6282,31.8511,0.3704,251.0732,2.9195,695.3499,8.0855,206.7101,2.4036,6
P05387,60S acidic ribosomal protein P2 OS=Homo sapiens GN=RPLP2 PE=1 SV=1,491.4639,5.7329,191.099,2.2292,28.4634,0.332,320.6087,3.7399,1228.46,14.3299,217.5185,2.5373,6
P05388,60S acidic ribosomal protein P0 OS=Homo sapiens GN=RPLP0 PE=1 SV=1,433.3683,14.9272,143.6686,4.9486,28.4789,0.9809,217.3887,7.4879,751.5973,25.8885,201.2507,6.932,6
Q9UJ70,N-acetyl-D-glucosamine kinase OS=Homo sapiens GN=NAGK PE=1 SV=4,197.5555,7.4514,107.8141,4.0665,73.7007,2.7798,179.1792,6.7583,548.9397,20.7049,143.9839,5.4308,6
P20618,Proteasome subunit beta type-1 OS=Homo sapiens GN=PSMB1 PE=1 SV=2,426.0075,11.3819,201.1307,5.3737,130.7768,3.494,294.9586,7.8806,943.7532,25.2148,198.8605,5.3131,6
P52272,Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens GN=HNRNPM PE=1 SV=3,589.6394,45.8746,233.8265,18.192,311.6175,24.2442,322.6164,25.0999,928.7104,72.2547,192.3547,14.9654,6
Q15366,Poly(rC)-binding protein 2 OS=Homo sapiens GN=PCBP2 PE=1 SV=1,213.3283,8.3154,149.8748,5.842,77.9653,3.039,280.1108,10.9185,626.345,24.4145,146.0414,5.6926,6
Q15365,Poly(rC)-binding protein 1 OS=Homo sapiens GN=PCBP1 PE=1 SV=2,311.0432,11.8231,175.5821,6.6741,132.9381,5.0531,254.3227,9.6671,785.8976,29.8729,190.9858,7.2596,6
O15258,Protein RER1 OS=Homo sapiens GN=RER1 PE=1 SV=1,41.6626,0.9612,46.9504,1.0832,28.9844,0.6687,56.3286,1.2996,214.087,4.9394,51.8983,1.1974,6
Q9H9Y6,DNA-directed RNA polymerase I subunit RPA2 OS=Homo sapiens GN=POLR1B PE=1 SV=2,65.7788,8.5436,23.6701,3.0744,21.2913,2.7654,35.173,4.5684,123.6884,16.0651,33.0654,4.2946,6
P29401,Transketolase OS=Homo sapiens GN=TKT PE=1 SV=3,600.7673,41.1898,339.4332,23.2722,120.382,8.2536,485.1687,33.2642,1658.613,113.718,289.4447,19.8449,6
Q9Y305,Acyl-coenzyme A thioesterase 9_ mitochondrial OS=Homo sapiens GN=ACOT9 PE=1 SV=2,99.1424,4.987,35.5463,1.788,46.9362,2.3609,105.0711,5.2852,80.1011,4.0292,46.8322,2.3557,6
P39023,60S ribosomal protein L3 OS=Homo sapiens GN=RPL3 PE=1 SV=2,610.1774,28.3086,421.5421,19.5571,139.6123,6.4772,483.9893,22.4543,1926.857,89.3948,438.2656,20.3329,6
O75436,Vacuolar protein sorting-associated protein 26A OS=Homo sapiens GN=VPS26A PE=1 SV=2,63.3856,2.4267,74.5145,2.8527,70.879,2.7135,81.886,3.1349,172.9124,6.6198,41.1044,1.5736,6
P35241,Radixin OS=Homo sapiens GN=RDX PE=1 SV=1,113.6283,7.8038,62.3601,4.2828,15.7565,1.0821,88.3593,6.0683,387.2153,26.5932,72.0209,4.9463,6
O75439,Mitochondrial-processing peptidase subunit beta OS=Homo sapiens GN=PMPCB PE=1 SV=2,44.2549,2.4388,15.3978,0.8485,44.0875,2.4296,23.6803,1.305,72.5743,3.9994,15.5333,0.856,6
P43034,Platelet-activating factor acetylhydrolase IB subunit alpha OS=Homo sapiens GN=PAFAH1B1 PE=1 SV=2,67.6803,3.1951,112.9014,5.3299,48.4577,2.2876,153.9059,7.2656,223.9312,10.5714,76.5158,3.6122,6
Q96AC1,Fermitin family homolog 2 OS=Homo sapiens GN=FERMT2 PE=1 SV=1,247.382,19.4165,127.7607,10.0277,74.2123,5.8248,219.9355,17.2623,679.8875,53.363,148.2669,11.6372,6
Q9NVP1,ATP-dependent RNA helicase DDX18 OS=Homo sapiens GN=DDX18 PE=1 SV=2,130.1446,9.8583,124.888,9.4601,34.3229,2.5999,142.7812,10.8155,356.405,26.9974,75.9967,5.7567,6
Q96CS3,FAS-associated factor 2 OS=Homo sapiens GN=FAF2 PE=1 SV=2,142.5597,7.5508,72.0677,3.8171,16.4794,0.8728,104.773,5.5494,356.8722,18.902,72.5148,3.8408,6
P62807,Histone H2B type 1-C/E/F/G/I OS=Homo sapiens GN=HIST1H2BC PE=1 SV=4,378.3191,5.261,297.2035,4.133,251.9201,3.5032,878.485,12.2164,1282.013,17.8279,345.0091,4.7978,6
P62805,Histone H4 OS=Homo sapiens GN=HIST1H4A PE=1 SV=2,889.2924,10.1089,587.1868,6.6748,431.3641,4.9035,806.8007,9.1712,2286.506,25.9915,573.5884,6.5202,6
O60610,Protein diaphanous homolog 1 OS=Homo sapiens GN=DIAPH1 PE=1 SV=2,167.8143,23.835,89.2476,12.676,66.0393,9.3797,107.8396,15.3167,377.687,53.6436,97.2329,13.8102,6
P17931,Galectin-3 OS=Homo sapiens GN=LGALS3 PE=1 SV=5,459.3064,12.0381,296.5416,7.7722,238.3314,6.2465,287.3782,7.532,1492.318,39.1127,264.2985,6.9271,6
Q9BXW6,Oxysterol-binding protein-related protein 1 OS=Homo sapiens GN=OSBPL1A PE=1 SV=2,179.1012,19.6722,40.4739,4.4456,74.3589,8.1675,24.2472,2.6633,659.5967,72.4493,92.7412,10.1866,6
P06280,Alpha-galactosidase A OS=Homo sapiens GN=GLA PE=1 SV=1,51.7445,2.5618,24.5623,1.216,25.5428,1.2646,26.1015,1.2922,150.5701,7.4545,35.247,1.745,6
O15228,Dihydroxyacetone phosphate acyltransferase OS=Homo sapiens GN=GNPAT PE=1 SV=1,26.9369,2.1007,10.073,0.7856,9.165,0.7147,14.074,1.0976,58.9298,4.5957,143.1894,11.1668,6
Q9Y6E2,Basic leucine zipper and W2 domain-containing protein 2 OS=Homo sapiens GN=BZW2 PE=1 SV=1,24.4289,1.1821,14.8762,0.7199,19.0298,0.9209,22.3585,1.0819,84.9786,4.1122,21.6334,1.0469,6
O15321,Transmembrane 9 superfamily member 1 OS=Homo sapiens GN=TM9SF1 PE=2 SV=2,121.7025,8.443,49.7919,3.4543,42.6326,2.9576,49.872,3.4598,264.3191,18.3369,56.2493,3.9022,6
Q9Y6E0,Serine/threonine-protein kinase 24 OS=Homo sapiens GN=STK24 PE=1 SV=1,48.6759,2.414,13.322,0.6607,12.7901,0.6343,34.5504,1.7135,125.1652,6.2073,18.2929,0.9072,6
