protein.Entry_protein.Accession,protein.Description,c1,c2,c3,r1,r2,r3,rt1,rt2,rt3,t1,t2,t3,Present_NumFiles
VATA_HUMAN_P38606,V-type proton ATPase catalytic subunit A OS=Homo sapiens GN=ATP6V1A PE=1 SV=2,0.8114,0.8575,1.0381,0.5032,0.5875,0.6004,0.6448,0.719,0.4805,0.6918,0.6655,0.5681,12
RL35A_HUMAN_P18077,60S ribosomal protein L35a OS=Homo sapiens GN=RPL35A PE=1 SV=2,0.3672,0.3853,0.4091,0.3163,0.4067,0.4143,0.4109,0.4634,0.3561,0.3902,0.3976,0.3469,12
MYH10_HUMAN_P35580,Myosin-10 OS=Homo sapiens GN=MYH10 PE=1 SV=3,2.9815,4.6176,2.8709,2.9523,3.3559,3.4114,7.167,2.0052,0.8995,3.6547,2.9694,3.5858,12
RHOG_HUMAN_P84095,Rho-related GTP-binding protein RhoG OS=Homo sapiens GN=RHOG PE=1 SV=1,0.1424,0.2238,0.1281,0.1162,0.1571,0.1458,0.1643,0.2466,0.1268,0.0739,0.1405,0.0579,12
PSA1_HUMAN_P25786,Proteasome subunit alpha type-1 OS=Homo sapiens GN=PSMA1 PE=1 SV=1,1.0748,0.9451,0.8032,0.735,0.8349,0.8396,0.7884,0.8798,0.7631,0.8933,0.8261,0.6772,12
PRDX5_HUMAN_P30044,Peroxiredoxin-5_ mitochondrial OS=Homo sapiens GN=PRDX5 PE=1 SV=4,0.5663,0.5395,0.4876,0.3783,0.5407,0.4765,0.5448,1.6897,0.8214,0.5116,0.4735,0.5393,12
ACLY_HUMAN_P53396,ATP-citrate synthase OS=Homo sapiens GN=ACLY PE=1 SV=3,4.999,4.2188,5.0255,4.1473,3.5715,3.3356,4.6708,5.0065,3.5732,4.8518,4.5852,4.4446,12
VDAC2_HUMAN_P45880,Voltage-dependent anion-selective channel protein 2 OS=Homo sapiens GN=VDAC2 PE=1 SV=2,1.3482,1.3281,1.1356,1.1282,1.1495,1.0183,1.0136,1.0431,0.9045,0.996,0.9924,1.1075,12
LRC47_HUMAN_Q8N1G4,Leucine-rich repeat-containing protein 47 OS=Homo sapiens GN=LRRC47 PE=1 SV=1,0.9274,0.7698,1.1667,1.0685,1.2438,1.1206,1.2239,1.0138,0.5932,1.2511,2.7835,1.2889,12
CH60_HUMAN_P10809,60 kDa heat shock protein_ mitochondrial OS=Homo sapiens GN=HSPD1 PE=1 SV=2,9.4528,8.4093,10.3654,6.6804,6.9656,7.1924,8.3071,8.3129,5.7262,6.9977,7.1206,6.3613,12
RS17_HUMAN_P08708,40S ribosomal protein S17 OS=Homo sapiens GN=RPS17 PE=1 SV=2,0.4751,0.9442,0.9746,1.1719,1.2822,1.4384,1.4626,0.8139,0.4024,1.4221,1.1597,1.2464,12
PRPF3_HUMAN_O43395,U4/U6 small nuclear ribonucleoprotein Prp3 OS=Homo sapiens GN=PRPF3 PE=1 SV=2,0.3147,0.2771,0.3948,0.2904,0.2996,0.2668,0.318,0.3691,0.2026,0.3898,0.226,0.3072,12
SRSF6_HUMAN_Q13247,Serine/arginine-rich splicing factor 6 OS=Homo sapiens GN=SRSF6 PE=1 SV=2,0.462,0.5714,0.3708,0.2992,0.2699,0.3345,0.3658,0.3803,0.304,0.3478,0.4717,0.8557,12
SYLC_HUMAN_Q9P2J5,Leucine--tRNA ligase_ cytoplasmic OS=Homo sapiens GN=LARS PE=1 SV=2,3.4639,2.8624,3.3183,2.6384,2.6549,2.4716,5.4962,3.304,2.5454,2.9846,2.9897,2.7592,12
RS26_HUMAN_P62854,40S ribosomal protein S26 OS=Homo sapiens GN=RPS26 PE=1 SV=3,0.2291,0.0886,0.1748,0.1483,0.2305,0.1806,0.1982,0.1508,0.3258,0.1843,0.2143,0.1541,12
LDHB_HUMAN_P07195,L-lactate dehydrogenase B chain OS=Homo sapiens GN=LDHB PE=1 SV=2,4.1395,3.9203,4.5151,2.9388,2.9416,2.9838,3.5738,4.0355,3.196,3.2455,3.0433,2.9777,12
SMCA5_HUMAN_O60264,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 OS=Homo sapiens GN=SMARCA5 PE=1 SV=1,0.5482,0.7595,0.3642,0.9664,0.8323,0.5915,0.7582,0.5223,0.5645,0.5612,0.7807,1.5373,12
RCC1_HUMAN_P18754,Regulator of chromosome condensation OS=Homo sapiens GN=RCC1 PE=1 SV=1,0.2573,0.3278,0.2289,0.4107,0.4111,0.3766,0.4944,0.294,0.3018,0.3777,0.3129,0.2724,12
NIBL1_HUMAN_Q96TA1,Niban-like protein 1 OS=Homo sapiens GN=FAM129B PE=1 SV=3,1.1397,0.8902,1.0906,1.416,1.5716,1.3279,1.7215,2.8746,1.0888,0.9958,0.7584,0.6919,12
RMD1_HUMAN_Q96DB5,Regulator of microtubule dynamics protein 1 OS=Homo sapiens GN=RMDN1 PE=1 SV=1,0.1114,0.1124,0.1323,0.0894,0.1356,0.1026,0.108,0.1225,0.0871,0.1211,0.0952,0.1019,12
TXD17_HUMAN_Q9BRA2,Thioredoxin domain-containing protein 17 OS=Homo sapiens GN=TXNDC17 PE=1 SV=1,0.3197,0.2952,0.4645,0.2499,0.2582,0.2692,0.3313,0.3284,0.3962,0.2488,0.2702,0.2112,12
SF01_HUMAN_Q15637,Splicing factor 1 OS=Homo sapiens GN=SF1 PE=1 SV=4,0.2693,0.3927,0.3605,0.5244,0.6082,0.508,0.4246,0.4316,0.4332,0.4955,0.4132,0.3414,12
PIPNB_HUMAN_P48739,Phosphatidylinositol transfer protein beta isoform OS=Homo sapiens GN=PITPNB PE=1 SV=2,0.2835,0.2739,0.1924,0.4042,2.5519,0.2769,0.3704,0.2988,0.2984,0.366,0.263,0.2113,12
PPIA_HUMAN_P62937,Peptidyl-prolyl cis-trans isomerase A OS=Homo sapiens GN=PPIA PE=1 SV=2,1.8364,1.7392,1.5482,1.2728,1.3615,1.2928,1.5854,1.5513,1.3711,1.3874,1.393,1.263,12
CLPT1_HUMAN_O96005,Cleft lip and palate transmembrane protein 1 OS=Homo sapiens GN=CLPTM1 PE=1 SV=1,0.2619,0.2278,0.2905,0.2194,0.2176,0.2014,0.2017,0.278,0.1874,0.422,0.2538,0.1659,12
RU17_HUMAN_P08621,U1 small nuclear ribonucleoprotein 70 kDa OS=Homo sapiens GN=SNRNP70 PE=1 SV=2,0.4062,0.5601,0.3588,0.3645,0.4118,0.5371,0.3271,0.5242,0.3082,0.3362,0.623,0.3829,12
ANXA1_HUMAN_P04083,Annexin A1 OS=Homo sapiens GN=ANXA1 PE=1 SV=2,3.6345,3.4256,2.8752,2.7268,3.3223,2.9913,2.7666,3.2839,2.597,2.4754,2.489,2.1149,12
PFKAL_HUMAN_P17858,ATP-dependent 6-phosphofructokinase_ liver type OS=Homo sapiens GN=PFKL PE=1 SV=6,1.1908,1.1099,0.9269,0.9799,1.0345,1.1741,0.5424,1.1466,0.9359,1.1222,1.1311,1.0427,12
SAFB1_HUMAN_Q15424,Scaffold attachment factor B1 OS=Homo sapiens GN=SAFB PE=1 SV=4,1.4121,0.6801,0.459,0.479,0.4957,0.5349,1.0423,1.1097,0.4907,0.5743,0.7047,0.7064,12
RD23B_HUMAN_P54727,UV excision repair protein RAD23 homolog B OS=Homo sapiens GN=RAD23B PE=1 SV=1,1.4825,1.2052,1.4594,0.8441,1.1288,1.0793,1.1725,1.3249,0.9533,1.1542,1.2212,1.1187,12
LPPRC_HUMAN_P42704,Leucine-rich PPR motif-containing protein_ mitochondrial OS=Homo sapiens GN=LRPPRC PE=1 SV=3,2.8909,3.2323,4.0207,2.5756,2.5007,3.2051,3.1755,2.8449,2.2956,2.6201,2.4522,2.4664,12
HMGA1_HUMAN_P17096,High mobility group protein HMG-I/HMG-Y OS=Homo sapiens GN=HMGA1 PE=1 SV=3,0.3216,0.2529,0.2777,0.2623,0.3042,0.3321,0.4327,0.2343,0.1606,0.2882,0.14,0.2199,12
CALX_HUMAN_P27824,Calnexin OS=Homo sapiens GN=CANX PE=1 SV=2,1.2718,1.7951,1.0608,2.2526,2.3454,2.2896,2.4116,2.0748,2.7297,1.9332,1.8415,1.1665,12
CSK2B_HUMAN_P67870,Casein kinase II subunit beta OS=Homo sapiens GN=CSNK2B PE=1 SV=1,0.1862,0.3289,0.1451,0.2158,0.2453,0.2137,0.313,0.2292,0.1642,0.2218,0.2002,0.1748,12
SPB1_HUMAN_Q8IY81,pre-rRNA processing protein FTSJ3 OS=Homo sapiens GN=FTSJ3 PE=1 SV=2,0.8306,0.7066,0.899,0.8515,1.357,0.8051,0.789,0.9109,0.5653,0.6316,0.6563,0.5604,12
LAP2A_HUMAN_P42166,Lamina-associated polypeptide 2_ isoform alpha OS=Homo sapiens GN=TMPO PE=1 SV=2,1.3387,1.8234,1.7367,1.1361,1.4724,1.1534,2.2786,1.2323,1.1862,2.1481,0.7117,1.2936,12
SF3A1_HUMAN_Q15459,Splicing factor 3A subunit 1 OS=Homo sapiens GN=SF3A1 PE=1 SV=1,1.4639,1.427,2.1245,1.02,1.1017,1.0238,1.4059,1.8368,1.0486,1.1347,1.0818,0.7917,12
PEPD_HUMAN_P12955,Xaa-Pro dipeptidase OS=Homo sapiens GN=PEPD PE=1 SV=3,0.2371,0.3581,0.1708,0.1564,0.1527,0.1748,0.1881,0.2041,0.1875,0.2522,0.1686,0.1727,12
EIF3E_HUMAN_P60228,Eukaryotic translation initiation factor 3 subunit E OS=Homo sapiens GN=EIF3E PE=1 SV=1,0.9224,0.832,0.6866,0.6717,0.6429,0.6686,0.9615,0.8253,0.8252,2.702,0.5639,0.509,12
PBDC1_HUMAN_Q9BVG4,Protein PBDC1 OS=Homo sapiens GN=PBDC1 PE=1 SV=1,0.2068,0.1735,0.1416,0.2386,0.2974,0.2397,0.253,0.2383,0.2335,0.1871,0.2142,0.1276,12
UBP10_HUMAN_Q14694,Ubiquitin carboxyl-terminal hydrolase 10 OS=Homo sapiens GN=USP10 PE=1 SV=2,0.5802,0.5266,0.6057,0.6066,0.5236,0.5235,0.6291,0.5891,0.3978,0.6546,0.4445,0.3893,12
IFIT3_HUMAN_O14879,Interferon-induced protein with tetratricopeptide repeats 3 OS=Homo sapiens GN=IFIT3 PE=1 SV=1,1.243,1.0566,0.8169,0.6287,0.6659,0.4853,0.5644,0.3775,0.3615,0.5213,0.9155,0.5619,12
U520_HUMAN_O75643,U5 small nuclear ribonucleoprotein 200 kDa helicase OS=Homo sapiens GN=SNRNP200 PE=1 SV=2,2.83,2.1643,2.5944,2.7602,3.0096,2.6637,2.6615,2.007,1.7947,1.9969,2.1239,2.6293,12
F8W7C6_HUMAN_F8W7C6,60S ribosomal protein L10 OS=Homo sapiens GN=RPL10 PE=1 SV=2,0.7328,0.8693,0.7235,0.7529,0.8421,0.8282,0.8617,0.9173,0.7594,0.83,0.7796,0.6942,12
F8VSA6_HUMAN_F8VSA6,NEDD8 OS=Homo sapiens GN=NEDD8 PE=4 SV=1,0.0145,0.0275,0.0106,0.0415,0.0385,0.0317,0.0372,0.028,0.048,0.0186,0.0179,0.0155,12
